GPA_S1,Hopeless/unmotivated,Sleep_hrs,LAB_AVG,Programme prepares for career,Concentration in self-study,Adequate supervision,CA_AVG,Financial_diff,Employment_hrs,Can improve performance,Self-motivates,Sense of belonging,Manages time effectively,Early intervention provided,Persists when difficult,Peer study groups effective,Anxious about assessments,Takes rest breaks,Seeks help when stuck,Regular exercise,Participates in class,Considered break,Age_group,Understands content pre-exam,CLIN_AVG,Takes organised notes,Physical health affected,ATT_RATE,Lecturers approachable,Sets academic goals,Study_hrs_day,Completes readings,EXAM_AVG,Confident in clinical skills,Prepared for clinical assess,Rotations affect performance,Self_risk_percep,Schedule conflicts,Gender,Sleep difficulty,Year_study,ASSIGN_LATE,Health interferes studies,Sleep affects concentration,Feels prepared,Emotionally supported
3.24,2,0,0.91,4,3,2,0.79,2,0,4,5,2,3,3,3,3,2,1,4,2,3,1,3,3,0.91,3,4,1.0,1,3,2,3,0.7,1,3,5,2,3,1,2,300,2,4,3,2,3
2.38,3,2,0.82,1,1,1,0.95,2,0,1,1,1,1,2,1,2,2,2,2,1,1,3,1,1,0.75,1,3,0.89,3,1,5,1,0.79,1,1,4,0,4,1,3,200,1,1,2,1,2
2.94,3,1,0.96,2,5,4,0.7,2,1,5,3,4,2,2,5,5,4,3,4,5,1,3,3,1,1.0,2,2,0.67,4,5,3,3,0.89,2,4,2,3,3,1,1,300,1,5,1,2,1
2.88,3,3,1.0,4,3,2,0.79,4,0,2,2,1,3,3,2,3,4,2,2,3,1,5,2,5,0.99,3,1,1.0,4,2,4,5,0.64,3,2,1,3,5,0,1,200,1,4,3,3,4
2.96,2,2,0.65,5,3,4,0.78,2,0,2,2,2,3,3,4,3,3,3,4,1,4,2,1,2,0.7,3,3,0.69,5,1,3,2,0.89,5,3,5,1,5,1,4,300,1,2,2,2,3
3.04,3,2,0.94,3,3,3,0.89,0,1,3,3,4,2,3,2,3,2,3,1,4,3,3,3,4,0.7,3,4,0.9,3,2,5,1,0.89,1,2,3,0,4,0,4,300,1,3,3,2,4
2.86,5,3,0.6,1,1,2,0.84,1,1,1,1,3,1,5,1,1,4,1,1,3,3,5,1,1,0.99,1,5,1.0,4,1,4,5,0.89,2,1,2,0,2,0,5,200,1,5,5,1,2
2.9,1,1,0.6,1,2,2,1.0,0,0,3,2,2,3,2,4,2,1,5,3,3,3,1,1,2,0.93,2,1,0.91,3,3,4,4,0.99,2,4,1,2,2,0,4,300,1,4,1,1,1
2.9,4,1,0.84,2,2,2,0.79,4,2,2,2,2,2,4,2,2,4,2,2,3,1,4,3,2,0.79,2,4,0.79,1,1,5,2,0.67,2,2,2,2,4,1,2,200,1,4,2,2,2
3.5,3,0,0.77,1,1,4,0.69,4,0,1,1,4,5,4,3,1,1,1,3,3,3,2,2,1,0.89,4,4,0.7,3,2,5,5,0.9,4,3,3,3,2,0,4,200,1,3,2,2,3
2.85,3,0,0.74,1,3,3,1.0,4,0,2,3,3,2,2,2,3,4,1,4,5,4,2,1,5,0.79,2,4,0.69,3,4,3,2,0.84,2,3,3,2,4,0,3,200,1,5,3,2,5
1.91,3,1,0.94,3,2,2,0.99,1,4,4,4,4,1,5,4,2,2,3,5,3,2,3,3,4,1.0,5,4,0.79,4,4,3,2,0.69,3,3,1,3,5,1,4,300,0,3,2,3,3
3.06,3,3,0.88,1,5,3,1.0,4,2,4,3,3,1,3,4,5,3,2,5,1,1,1,3,3,0.8,3,1,0.89,4,1,2,5,0.66,4,5,3,2,3,0,2,300,1,3,2,2,1
2.61,3,5,0.87,4,1,5,0.9,2,4,2,2,2,4,3,2,1,4,2,4,2,3,5,1,3,1.0,3,2,0.69,4,1,4,3,0.7,5,5,3,2,5,1,5,300,1,3,1,1,3
2.34,4,1,0.81,3,5,2,0.89,2,1,3,3,2,2,2,3,5,1,1,1,5,4,4,1,1,0.93,2,1,0.79,3,5,5,4,0.88,5,1,1,2,3,1,5,300,1,4,5,5,3
2.76,2,5,0.93,4,3,2,0.7,2,1,4,3,5,2,4,2,3,2,2,1,4,3,3,3,1,0.7,4,3,0.76,1,4,2,5,0.69,2,1,4,2,4,1,2,300,2,4,5,4,5
2.83,3,5,0.92,2,4,1,1.0,2,0,4,3,2,5,2,1,4,5,1,2,4,4,2,1,4,0.69,2,3,0.9,3,1,1,2,0.95,2,2,3,0,3,0,5,200,0,5,3,1,4
1.95,2,5,0.73,3,3,3,0.79,2,1,3,4,4,5,1,5,3,1,3,3,2,1,1,1,3,0.78,1,4,0.93,5,2,2,2,1.0,4,2,4,0,1,0,1,300,1,2,3,4,4
3.17,3,3,0.81,1,2,5,0.92,0,0,2,3,5,2,1,3,2,3,2,2,3,2,1,1,2,0.7,1,2,0.69,3,5,4,1,0.69,4,4,4,1,2,0,5,300,1,4,4,1,2
3.08,4,1,0.9,1,2,2,0.9,4,0,2,3,2,2,4,3,2,5,2,3,2,5,2,4,1,0.89,4,2,0.7,3,3,4,3,0.63,1,2,2,2,5,0,3,200,0,4,2,4,3
2.79,3,3,0.95,2,3,4,0.68,2,0,1,3,1,3,1,5,3,5,4,5,3,4,1,2,1,0.78,1,3,0.8,2,1,2,3,0.96,1,4,5,1,3,1,2,300,1,1,3,1,1
2.57,3,1,1.0,3,5,1,0.89,3,2,2,2,3,1,4,2,5,2,1,3,3,5,3,2,3,0.93,4,4,0.69,4,2,4,2,0.89,5,2,1,2,3,0,4,300,0,3,2,3,5
2.89,2,0,0.96,3,3,1,0.79,1,0,2,3,3,3,4,2,3,1,3,2,2,1,2,1,1,0.66,4,2,1.0,2,1,4,2,0.78,2,3,3,2,3,0,5,300,1,4,3,4,4
3.44,1,2,0.95,5,2,5,0.79,0,0,3,5,5,2,4,2,2,3,2,1,4,2,3,2,1,0.84,4,3,0.95,1,3,3,2,0.89,4,4,2,2,2,0,3,300,0,5,3,3,3
2.76,3,1,0.84,1,2,2,0.68,0,1,4,4,2,2,3,2,2,5,3,2,3,1,4,3,4,0.96,3,2,0.69,2,4,5,3,0.84,4,1,1,2,2,1,3,300,1,2,2,4,2
3.07,2,5,0.73,3,3,3,0.89,0,1,4,2,3,4,3,1,3,3,3,3,2,5,3,1,2,0.77,3,2,0.99,3,3,2,4,0.69,3,2,4,1,5,0,2,300,1,2,4,1,4
3.37,3,3,0.9,3,3,1,0.92,4,1,4,2,4,1,2,4,3,1,1,3,3,1,3,3,3,0.7,2,2,0.89,2,4,2,2,0.78,3,2,3,2,4,1,4,300,0,2,5,4,1
2.28,3,3,0.94,3,4,4,0.89,1,0,3,4,1,3,4,4,4,3,4,2,3,4,1,0,1,1.0,4,3,0.79,4,5,2,2,0.96,4,1,2,3,5,1,5,300,1,2,4,4,3
3.0,2,3,0.86,3,2,5,0.7,1,0,4,1,2,4,2,5,2,3,3,4,4,4,3,2,3,0.6,2,1,0.69,3,1,1,3,0.77,3,2,4,0,4,0,3,200,1,3,3,3,2
2.57,1,1,0.63,2,4,4,0.78,2,0,5,4,1,3,3,3,4,4,3,1,1,2,2,4,2,0.7,3,1,0.78,4,1,3,4,0.6,1,1,1,1,1,0,3,300,2,3,1,1,2
1.8,2,2,0.92,2,2,4,1.0,0,0,4,1,3,3,2,2,2,4,2,4,3,5,3,0,3,0.69,2,5,0.7,5,5,3,1,0.84,5,3,2,2,5,1,2,300,2,1,4,2,5
2.91,2,2,0.8,4,2,2,0.69,2,0,2,1,4,3,1,1,2,2,2,3,3,5,4,4,2,0.69,1,4,0.92,3,1,4,1,0.89,2,3,4,1,3,1,3,300,1,1,5,3,3
2.52,1,5,0.91,5,4,3,0.89,4,0,2,3,2,3,2,4,4,3,1,4,5,3,1,3,2,0.89,2,5,0.87,3,1,2,2,0.89,1,4,5,0,1,1,4,300,2,5,3,5,2
2.48,2,5,0.87,1,2,4,0.85,2,0,2,3,3,2,3,1,2,2,1,1,2,4,3,1,1,0.59,3,3,0.87,1,1,5,2,0.99,3,2,1,1,2,1,1,300,2,2,2,4,5
2.96,3,1,0.86,4,3,2,0.78,1,0,2,3,4,5,3,2,3,3,2,3,1,1,2,0,1,1.0,3,4,0.89,5,2,2,3,0.66,1,4,4,1,1,0,3,300,1,1,2,2,2
2.89,5,1,0.85,3,2,1,0.89,0,0,1,1,2,4,1,3,2,2,4,5,4,4,5,0,2,0.79,1,4,0.7,5,4,1,5,0.9,3,3,4,3,2,1,4,300,1,1,5,3,3
2.96,3,1,0.88,2,3,4,0.7,0,0,3,4,1,4,2,2,3,2,4,3,1,5,2,2,4,0.88,2,3,0.7,4,1,2,1,0.88,2,3,4,2,4,1,1,200,1,1,2,2,1
3.23,2,3,0.89,3,1,1,0.9,4,0,2,4,4,2,4,3,1,3,1,3,5,2,3,3,4,0.69,4,3,0.78,4,3,3,2,0.5,3,2,2,1,3,1,4,200,2,3,3,4,4
3.3,5,5,1.0,1,4,1,0.69,0,4,4,3,4,2,3,5,4,4,5,2,4,3,1,4,5,0.78,3,3,0.67,2,4,2,2,0.85,4,4,2,2,3,1,4,300,2,2,3,3,3
3.04,4,1,0.76,3,1,1,0.89,4,0,4,1,2,1,2,1,1,4,5,5,2,3,5,4,4,0.69,2,4,0.7,1,4,2,2,0.76,4,4,2,1,3,1,4,200,2,2,3,4,2
1.52,3,3,0.96,5,2,5,0.79,4,0,1,2,4,3,4,1,2,3,5,5,2,2,3,2,2,0.92,4,3,0.6,3,2,4,3,0.79,3,1,2,3,3,1,3,300,1,3,1,2,2
2.82,1,3,1.0,2,3,2,0.87,1,0,3,4,2,4,2,1,3,2,1,1,3,3,4,1,2,0.99,2,2,0.9,1,1,3,4,1.0,2,5,2,1,5,1,4,300,1,4,2,1,5
2.5,4,0,0.79,4,5,4,0.34,2,4,4,5,5,3,5,5,4,5,4,4,3,5,5,0,5,0.75,5,4,0.69,5,5,3,5,0.75,5,5,4,0,5,0,5,200,1,4,5,5,5
2.58,3,5,0.86,4,2,3,0.69,3,4,4,1,2,2,1,3,2,2,2,3,5,3,2,1,3,1.0,1,2,0.89,3,2,2,2,0.75,1,1,4,0,3,0,3,200,1,2,3,2,2
2.21,1,0,0.72,5,4,3,0.53,0,0,5,3,5,3,5,4,3,2,1,3,5,3,1,2,3,0.89,3,3,0.6,3,5,2,3,0.8,3,3,2,2,4,0,3,200,1,1,1,3,3
2.45,1,5,0.69,1,4,1,0.91,1,0,3,3,1,4,3,3,4,5,3,5,1,2,1,1,1,0.9,3,1,0.69,4,1,5,3,0.79,4,3,4,1,4,0,5,300,1,2,1,3,2
3.15,4,3,0.86,4,2,3,0.99,2,1,2,2,3,4,4,2,2,3,4,2,1,2,2,1,5,1.0,4,4,0.77,4,5,3,4,0.69,3,2,1,1,5,0,5,300,2,4,2,1,1
3.0,1,2,0.76,4,3,5,1.0,2,1,2,2,4,2,3,1,3,2,1,4,2,5,4,2,3,0.79,3,1,0.7,2,4,2,1,0.68,4,2,2,1,1,0,3,300,1,5,3,2,4
2.48,3,3,0.75,2,4,1,0.59,1,0,3,3,2,2,2,1,4,1,2,5,1,5,1,0,5,0.7,2,2,0.6,3,2,2,1,0.45,3,2,1,3,4,1,2,200,1,4,2,4,5
2.57,2,3,0.88,3,1,4,0.7,1,4,4,5,1,2,1,3,1,4,3,5,3,3,3,3,3,1.0,1,4,0.69,4,2,3,2,1.0,2,1,4,1,5,1,2,200,1,2,1,4,3
2.56,1,1,0.88,3,2,1,0.91,1,2,4,2,3,3,4,5,2,2,2,2,4,4,2,1,3,0.7,4,5,0.9,2,3,3,2,0.92,1,3,3,0,4,0,2,300,1,4,1,3,3
3.02,3,3,0.83,2,2,4,0.77,0,0,2,2,1,1,3,3,2,5,3,4,2,1,3,1,3,0.69,3,3,0.9,1,2,1,5,1.0,4,2,3,0,2,0,5,300,1,4,4,3,2
3.91,2,3,1.0,4,3,4,0.84,0,1,3,2,3,5,3,3,3,3,2,2,2,1,4,4,1,0.75,3,3,0.89,1,1,5,2,1.0,5,3,5,2,2,0,2,300,1,1,2,4,2
2.26,5,1,0.99,3,1,3,0.57,4,0,5,5,2,3,2,5,1,3,2,4,4,2,1,1,1,0.69,2,3,0.79,2,3,2,2,0.72,2,2,4,1,4,1,4,200,2,2,1,3,2
2.9,2,5,0.92,1,3,4,0.7,4,2,5,5,2,2,3,4,3,3,2,5,1,1,1,1,2,0.85,3,3,0.93,2,5,2,4,0.69,3,1,4,1,1,1,5,300,1,4,2,2,4
2.67,4,3,0.84,3,1,5,0.87,2,0,5,3,2,1,3,2,1,5,3,1,3,2,4,4,2,1.0,3,3,0.69,2,4,2,4,0.79,3,3,4,3,1,0,2,300,2,3,3,3,4
2.97,4,3,0.52,2,2,1,0.93,1,0,2,2,4,2,4,2,2,4,3,3,4,3,4,1,5,0.66,2,4,0.92,3,2,3,2,0.66,2,2,4,1,5,0,4,200,1,4,4,2,1
1.31,5,3,0.94,1,1,3,0.9,4,0,5,2,3,3,3,4,1,3,5,2,4,2,2,0,2,0.9,3,3,0.84,2,4,3,2,0.45,3,1,4,1,1,1,2,200,0,1,3,2,5
2.59,3,3,0.74,2,4,3,0.96,2,0,3,5,2,2,5,1,4,1,2,1,4,3,2,4,5,0.89,5,5,0.66,5,1,3,3,0.79,3,5,2,0,4,1,3,300,0,3,1,3,4
2.52,4,2,0.77,5,5,4,0.81,3,1,5,4,5,4,4,3,4,5,5,4,5,5,4,0,4,0.95,5,4,0.78,3,5,1,5,0.95,4,5,4,0,4,1,5,200,2,5,4,4,4
2.54,2,2,0.49,3,4,3,0.77,1,0,4,3,3,3,1,4,4,3,4,2,3,1,4,3,5,0.69,1,1,1.0,1,2,2,1,0.69,5,1,2,2,4,1,3,300,1,4,3,5,3
3.26,3,1,0.98,3,5,3,0.89,1,4,3,3,2,3,1,1,5,5,1,3,2,2,1,2,3,0.79,1,1,0.79,1,5,4,1,0.79,3,3,3,1,2,0,4,300,1,4,3,2,3
2.83,2,2,0.89,2,4,4,0.66,2,0,4,5,1,3,2,3,4,4,2,3,2,4,3,0,2,1.0,2,1,0.79,2,4,2,1,0.66,4,1,5,1,5,0,2,300,2,1,2,2,3
1.6,2,5,0.92,3,3,1,0.85,0,1,2,3,2,4,3,5,3,3,3,2,1,4,1,3,4,0.73,3,1,1.0,2,3,2,2,0.69,5,1,3,3,4,1,2,300,2,3,4,2,2
2.19,4,3,0.95,5,2,2,0.75,1,1,4,3,2,4,2,1,2,4,4,1,2,3,4,1,3,0.73,2,3,0.93,4,4,3,3,0.79,3,2,3,3,3,1,4,300,1,3,3,3,3
3.18,2,1,0.92,2,3,5,0.7,4,2,4,4,3,1,3,5,3,3,1,3,5,5,3,3,1,0.72,3,1,1.0,1,1,4,1,0.69,3,5,3,1,3,0,3,300,1,3,5,3,5
2.17,5,2,1.0,1,1,3,0.66,2,0,2,2,1,2,3,2,1,3,2,2,5,4,5,1,2,0.69,3,5,0.66,3,2,4,2,0.9,3,4,1,2,3,1,5,200,2,2,1,2,2
2.9,2,3,0.85,4,4,3,0.6,2,0,4,1,2,2,3,3,4,5,5,2,1,2,4,1,1,0.9,3,4,0.69,2,2,3,1,1.0,4,2,4,1,1,0,3,200,2,4,3,2,1
3.28,4,1,1.0,2,2,3,0.9,0,0,2,2,2,2,2,2,2,3,2,2,2,2,3,1,2,0.72,2,2,0.96,2,2,3,2,0.73,3,3,3,1,3,1,3,300,1,4,4,2,2
2.56,3,2,0.9,1,3,4,0.7,1,1,4,4,1,4,1,5,3,2,4,1,3,2,2,2,4,0.7,1,4,0.96,5,3,2,3,0.64,3,1,1,1,3,1,3,200,2,1,3,3,1
3.05,5,1,0.67,5,5,5,0.79,2,1,5,5,5,5,4,5,5,5,5,4,5,5,5,2,5,0.8,5,5,0.85,5,4,1,5,0.79,4,5,5,0,4,0,5,200,1,4,5,4,5
2.76,4,1,1.0,2,3,2,0.79,1,4,1,2,3,1,3,4,3,4,2,3,3,5,2,3,2,0.6,3,3,0.89,2,3,2,3,0.79,1,1,3,2,1,0,1,300,1,4,3,3,3
1.88,5,1,0.98,3,2,2,0.87,4,2,2,2,3,4,3,1,2,3,2,4,3,4,3,2,2,0.7,3,3,0.9,4,1,1,3,0.79,1,2,1,3,5,1,3,200,1,4,1,3,4
2.37,5,2,0.92,2,4,2,0.69,1,1,2,3,3,1,3,2,4,3,4,3,4,3,1,0,3,0.69,3,1,0.7,4,3,2,3,0.89,4,2,2,2,3,0,2,300,2,3,4,3,1
2.75,2,3,0.62,2,5,2,0.89,1,0,5,3,5,3,4,3,5,5,4,5,4,5,2,2,5,0.69,4,5,1.0,3,4,2,2,0.47,3,1,3,2,1,1,4,200,2,3,4,5,1
2.36,1,5,0.94,4,4,2,0.93,4,4,1,4,3,3,2,3,2,4,5,3,1,3,1,2,1,0.7,5,3,0.69,3,1,2,3,0.35,2,4,3,1,2,0,3,200,1,2,1,5,1
3.38,4,1,0.81,1,1,3,0.79,2,0,1,2,2,3,2,2,1,5,4,4,1,4,3,1,2,0.6,2,2,0.68,5,3,1,2,1.0,5,3,4,3,4,0,5,200,2,5,3,2,3
2.5,2,3,0.94,4,3,3,0.89,0,1,3,3,2,5,3,4,3,1,4,2,1,3,5,4,2,1.0,3,4,0.6,4,2,3,4,0.7,3,2,3,2,3,1,3,300,1,3,2,4,3
3.88,4,3,0.82,2,2,1,1.0,1,1,2,2,4,2,3,4,2,2,4,2,3,4,4,2,2,0.96,3,2,0.67,1,4,3,1,0.89,5,1,4,2,4,0,5,300,1,2,2,1,3
2.69,3,1,0.71,5,4,2,0.59,4,2,2,2,2,5,2,4,4,4,4,4,2,4,1,1,1,0.75,2,4,1.0,5,3,3,1,1.0,3,3,5,3,5,1,4,300,2,1,1,2,1
2.59,1,3,0.9,2,3,3,0.85,1,4,4,4,4,3,1,5,3,3,2,1,2,3,4,3,1,0.78,1,3,0.96,3,4,2,2,0.92,3,4,4,1,2,0,1,300,1,2,2,2,4
1.07,1,3,0.79,3,2,5,0.7,0,0,5,4,4,1,4,3,2,1,5,2,2,4,4,1,3,1.0,4,4,0.9,1,2,2,3,0.75,2,2,2,2,1,0,1,300,2,1,4,3,3
2.34,4,2,0.89,4,5,4,0.89,0,0,3,3,1,1,5,5,5,4,4,1,3,4,1,3,1,0.7,5,5,0.7,5,2,2,3,1.0,2,2,2,2,2,0,3,300,1,4,4,3,3
2.85,2,5,0.82,2,3,3,0.63,2,0,5,3,2,3,3,4,3,2,4,3,5,3,3,1,4,0.7,3,4,0.89,3,2,1,4,1.0,3,3,1,1,3,0,4,300,1,2,3,1,1
2.67,3,2,0.7,4,3,4,0.99,1,2,3,1,1,3,4,2,3,1,4,4,3,3,3,3,4,0.69,4,5,0.79,3,1,4,1,0.8,3,3,2,3,3,1,4,200,1,5,3,4,4
2.65,5,5,0.76,4,2,4,0.79,1,2,3,3,5,2,2,4,2,5,3,3,5,1,1,3,5,0.79,2,1,0.93,4,2,2,3,0.99,1,4,4,2,4,0,4,300,2,5,3,5,1
3.05,2,4,0.88,3,2,4,0.64,0,0,2,3,2,2,2,3,3,4,3,2,3,2,3,1,2,0.66,2,3,0.9,3,2,4,2,1.0,2,3,2,2,3,0,3,200,0,1,4,3,2
3.23,1,0,1.0,2,3,3,1.0,0,0,4,3,4,3,3,2,3,3,2,3,1,2,1,3,3,0.69,3,3,0.7,5,2,3,5,1.0,3,4,3,1,4,1,3,300,1,3,3,3,2
2.81,4,5,0.84,2,3,1,0.79,2,4,4,2,1,3,3,3,3,5,2,5,2,5,2,4,3,0.9,3,2,1.0,3,4,1,3,0.9,4,4,5,3,5,0,3,200,1,1,3,2,5
3.43,2,5,0.93,4,2,2,0.87,4,0,3,5,5,2,4,4,2,3,2,3,3,1,4,1,3,0.99,4,5,0.89,5,3,3,3,0.66,1,3,3,0,3,0,2,300,1,3,3,3,4
2.07,5,2,1.0,1,4,1,0.78,0,4,2,5,4,3,4,2,4,2,3,2,2,3,1,2,3,0.68,4,2,0.57,2,3,3,1,0.7,5,2,4,0,3,1,3,300,0,5,2,5,2
2.67,3,1,0.59,3,5,4,0.8,1,1,1,4,2,5,1,2,5,3,5,5,4,5,3,1,1,0.69,1,4,0.59,4,4,2,2,0.69,2,3,3,1,1,1,1,300,1,4,2,3,1
1.17,4,3,1.0,2,3,4,0.5,0,2,1,2,2,1,2,2,2,2,4,4,1,4,4,2,4,0.89,4,4,0.69,2,1,1,4,0.93,4,4,4,2,4,0,4,200,1,5,5,2,2
2.89,1,0,1.0,5,2,4,0.9,4,2,2,2,2,2,3,3,2,2,3,4,3,3,3,3,2,0.93,3,4,0.79,3,3,3,5,0.91,3,2,1,1,2,1,4,300,1,5,3,1,1
2.65,1,0,0.86,1,2,2,0.89,0,1,2,4,4,1,4,5,2,4,1,3,3,4,2,3,2,0.94,4,3,0.9,1,2,4,2,0.59,3,3,4,0,4,1,4,300,1,2,4,2,3
2.05,4,5,0.95,3,1,2,0.8,2,4,4,2,2,2,4,3,1,3,4,1,4,4,2,3,5,0.93,4,2,0.7,2,4,4,1,0.9,4,3,2,1,2,1,2,300,1,4,4,2,3
3.02,4,3,0.92,3,3,1,0.69,0,0,1,3,5,5,3,1,3,1,3,4,3,5,5,1,3,0.84,3,1,0.89,4,2,4,3,0.66,4,4,2,1,4,0,3,300,1,2,3,4,3
3.27,2,5,0.97,5,2,4,0.9,2,0,4,4,4,3,3,1,2,3,5,4,4,3,1,0,2,0.79,3,3,0.79,2,2,3,4,0.89,3,3,2,2,2,0,2,300,2,5,2,4,4
3.48,3,3,0.89,2,2,3,0.45,1,2,2,2,3,3,2,3,2,2,3,3,3,4,3,2,3,0.8,2,3,0.78,3,3,1,4,0.8,3,2,2,1,2,0,3,200,1,3,3,3,2
2.91,2,5,0.88,2,4,2,0.93,3,0,2,2,5,5,3,2,4,1,2,2,1,2,2,0,1,0.91,3,1,0.7,3,3,4,4,0.79,3,2,4,1,3,0,1,300,1,5,2,5,4
2.21,4,3,0.51,3,3,4,0.69,2,4,2,5,2,5,3,2,3,2,1,1,2,4,5,1,2,0.79,3,3,0.9,5,3,2,5,0.69,1,1,1,2,2,1,2,300,0,2,1,4,2
2.43,5,3,0.91,1,1,3,1.0,2,1,3,3,5,5,2,5,1,4,2,5,4,4,1,0,1,0.9,2,5,0.79,3,1,5,3,0.93,3,4,2,1,3,0,3,300,2,4,4,3,4
3.45,1,1,0.96,3,3,5,0.9,0,1,4,3,3,3,3,1,3,4,3,2,5,2,5,2,4,0.67,3,4,0.6,1,1,4,5,0.7,3,5,2,0,3,0,5,300,1,5,4,3,4
3.32,4,1,0.84,2,1,5,0.69,0,0,4,1,2,4,1,4,1,4,4,3,2,4,5,4,1,0.73,1,4,0.78,1,5,3,3,0.92,2,1,2,1,1,0,3,300,1,2,3,2,2
2.22,5,1,0.85,2,2,1,0.79,1,0,4,4,3,2,2,4,2,3,2,3,3,2,3,0,4,1.0,2,4,1.0,4,2,1,2,0.79,4,4,4,3,4,0,1,300,1,3,4,2,5
2.81,5,0,0.56,5,5,4,0.89,2,1,5,5,5,5,5,5,5,5,5,3,4,4,5,2,5,0.71,5,5,0.89,5,5,5,5,0.73,5,5,5,0,5,1,5,200,1,5,5,5,5
3.41,2,1,0.71,4,3,1,0.79,0,1,1,1,3,3,5,3,3,4,2,4,2,4,2,1,3,0.87,5,1,0.89,1,1,4,4,0.77,3,4,3,0,3,0,3,300,1,5,2,2,4
3.08,3,3,1.0,3,5,2,0.6,1,1,4,1,3,5,1,3,5,5,1,2,5,4,3,1,2,0.93,1,2,0.77,1,3,3,2,0.69,2,2,2,1,4,0,3,200,1,3,5,2,4
3.02,2,1,0.84,4,5,2,0.78,1,0,3,4,4,5,3,4,5,3,1,2,3,1,3,4,2,0.7,3,3,1.0,5,1,2,3,0.8,4,2,5,1,2,1,2,200,1,5,3,3,4
2.35,4,2,0.47,2,2,3,0.69,0,0,3,4,3,4,2,3,2,2,1,4,2,2,5,3,5,0.7,2,5,0.84,2,3,4,2,1.0,4,3,2,1,4,1,1,300,1,5,5,4,4
2.81,2,5,0.8,1,4,3,0.9,0,2,4,4,2,5,3,4,4,2,4,4,1,4,1,2,3,0.7,3,5,0.85,3,3,3,2,0.89,4,2,3,2,2,0,2,300,1,2,2,2,4
3.3,3,2,0.66,3,3,3,0.79,1,0,3,1,4,3,3,3,3,2,1,1,5,2,4,3,2,0.69,3,4,0.78,2,4,4,3,0.93,5,3,1,1,3,1,2,300,2,5,4,3,4
3.15,3,5,0.77,3,3,3,0.7,4,0,2,2,4,2,4,4,3,2,2,3,4,3,2,1,2,0.85,4,2,0.96,1,5,3,5,0.67,3,3,4,1,3,1,3,200,0,4,3,3,4
2.63,2,3,1.0,3,2,2,0.73,0,1,3,2,2,3,3,3,2,2,1,4,4,5,3,1,2,0.7,3,3,0.59,3,4,3,3,0.7,1,2,3,1,3,1,2,300,2,4,5,3,3
2.29,3,5,0.8,4,3,1,0.8,1,0,4,1,5,2,2,3,3,3,1,1,4,3,3,4,3,0.89,2,5,0.79,3,1,2,5,0.89,1,4,1,1,3,1,5,300,2,2,4,5,1
3.22,5,3,1.0,4,3,4,0.89,2,2,2,1,2,3,3,2,3,5,4,1,3,1,4,0,3,0.79,3,2,0.69,4,2,2,5,0.88,4,3,4,3,3,1,4,300,2,3,3,1,3
2.28,5,5,0.73,3,4,2,0.9,2,1,4,1,3,3,5,3,4,2,4,1,2,1,3,3,3,0.88,5,2,0.79,4,2,4,3,0.6,4,2,1,3,3,0,4,300,0,1,2,3,3
2.39,3,1,0.88,2,4,4,0.75,0,0,3,2,3,3,4,5,4,2,2,5,2,1,5,1,4,0.88,4,2,0.93,2,2,5,3,0.78,4,4,1,1,3,0,3,300,1,4,3,4,4
1.98,3,1,0.76,2,2,5,0.91,1,1,4,3,1,2,4,3,2,4,2,4,4,1,4,3,3,0.87,4,3,0.89,2,4,3,2,1.0,4,2,3,3,1,1,3,200,2,3,2,4,2
2.53,3,1,0.86,2,4,4,0.8,2,0,2,1,3,1,2,2,2,1,4,2,3,2,2,2,2,0.8,4,4,0.67,2,1,3,2,0.92,2,2,4,1,4,0,2,300,1,4,2,2,1
2.86,4,2,1.0,2,3,2,0.93,0,0,4,2,5,3,3,2,3,2,1,1,4,5,3,3,1,0.6,3,3,1.0,1,1,3,3,1.0,2,1,3,1,2,1,3,300,2,1,3,1,1
3.14,4,2,0.69,3,4,2,0.9,0,1,1,1,5,4,3,2,4,2,5,2,2,5,2,2,1,0.63,3,2,0.7,4,3,4,1,0.9,1,3,5,2,2,0,1,300,0,2,4,3,3
2.87,1,1,0.82,2,2,5,0.8,2,0,3,4,2,1,4,2,2,2,5,5,2,2,4,2,2,0.69,4,3,0.75,3,1,3,2,0.69,4,3,4,3,2,0,3,300,1,2,3,1,2
2.11,1,1,0.94,3,4,3,0.92,2,0,2,4,3,5,4,1,4,1,4,4,3,5,3,2,3,0.79,4,4,0.69,1,3,2,1,0.9,4,4,2,1,3,1,3,300,1,4,5,4,4
2.88,5,2,0.88,2,3,3,0.87,0,1,5,1,4,2,4,3,3,1,3,2,3,1,5,2,2,1.0,4,3,0.69,2,2,4,4,0.64,4,2,2,1,2,0,5,200,1,2,1,2,2
2.3,4,2,0.94,1,2,5,0.87,2,0,3,1,4,2,2,4,2,4,2,5,4,4,1,0,3,0.78,2,2,0.9,1,1,2,2,0.93,2,2,2,1,4,0,4,200,1,2,4,3,2
3.41,5,2,0.86,5,3,1,1.0,2,0,3,2,1,3,4,4,3,3,3,4,1,5,1,3,3,0.84,4,1,0.89,5,3,2,4,0.9,4,3,4,1,5,1,2,300,1,1,3,5,3
3.41,3,2,0.92,3,3,4,0.6,1,2,2,3,3,3,4,2,3,3,5,4,2,3,3,2,1,0.87,4,3,0.89,3,3,2,3,0.89,2,1,5,3,2,0,3,300,1,2,1,1,3
