GPA_S1,CA_AVG,EXAM_AVG,CLIN_AVG,LAB_AVG,ATT_RATE,ASSIGN_LATE,Age_group,Gender,Year_study,SES,Financial_diff,Employment_hrs,Study_hrs_day,Sleep_hrs,Self_risk_percep,Reviews notes within 24h,Understands content pre-exam,Seeks help when stuck,Uses library regularly,Completes readings,Takes organised notes,Concentration in self-study,Participates in class,Clinical takes study time,Prepared for clinical assess,Rotations affect performance,Adequate supervision,Schedule conflicts,Confident in clinical skills,Anxious about assessments,Sleep difficulty,Burnt out,Hopeless/unmotivated,Physical health affected,Considered break,Emotionally supported,Lecturers approachable,Sleep affects concentration,Regular exercise,Balanced diet,Health interferes studies,Takes rest breaks,Sense of belonging,Participates in clubs,Adequate advisory support,Concerns taken seriously,Early intervention provided,Peer study groups effective,Knows where to get help,Programme prepares for career,Confident to complete prog,Can improve performance,Sets academic goals,Persists when difficult,Manages time effectively,Self-motivates,Feels prepared
2.56,0.8,0.69,0.89,0.9,0.55,2,2,1,300,3,0,0,3,1,0,3,4,1,5,3,4,4,1,5,4,4,5,3,3,4,2,1,3,1,3,4,3,1,4,3,1,3,2,1,5,3,4,4,1,5,3,3,2,2,1,5,3
3.17,0.89,0.64,0.79,1.0,0.79,2,2,0,200,2,1,1,2,1,1,5,4,3,5,3,4,4,2,3,4,4,1,5,3,4,2,4,2,3,3,3,3,1,4,4,4,4,4,3,5,3,4,4,2,3,2,3,3,2,3,1,5
2.78,1.0,0.93,0.68,0.94,1.0,2,4,1,300,1,0,2,2,1,0,3,4,5,2,1,3,1,1,5,3,2,2,3,4,3,1,3,4,1,5,5,1,5,4,3,5,3,2,5,2,1,3,1,1,5,3,3,5,1,1,3,3
2.43,0.93,1.0,0.8,0.86,1.0,2,2,0,300,2,1,0,3,5,0,4,2,3,2,2,3,1,4,2,1,5,3,4,2,1,5,3,2,1,5,5,3,5,3,3,4,1,4,3,2,2,3,1,4,2,3,3,5,3,2,1,4
2.0,0.7,0.79,0.6,1.0,0.9,1,2,0,300,2,2,1,2,1,0,2,4,2,1,3,2,5,3,1,2,1,5,4,3,5,3,2,3,3,2,4,2,1,1,4,3,2,3,2,1,3,2,5,3,1,2,3,2,1,1,5,2
2.46,0.7,0.79,0.89,0.8,0.9,2,2,0,300,2,2,0,5,3,2,2,4,1,3,1,1,3,5,5,2,4,2,3,3,1,4,5,2,3,5,5,4,2,2,2,2,1,5,1,3,1,1,3,5,5,3,5,1,5,1,2,2
3.31,0.78,0.7,0.88,0.89,0.7,0,4,0,300,1,0,0,3,5,1,2,4,3,3,3,4,2,4,3,4,1,1,3,1,1,3,4,2,2,3,1,1,1,2,4,2,2,5,3,3,3,4,2,4,3,3,1,1,4,5,4,2
2.45,0.7,0.69,1.0,1.0,0.7,1,3,1,300,1,4,0,4,5,2,2,2,4,1,2,2,1,5,1,2,4,1,2,2,1,3,5,2,4,3,3,2,4,2,2,5,1,4,4,1,2,2,1,5,1,5,5,2,4,1,2,2
2.61,1.0,0.7,0.89,1.0,1.0,1,3,1,300,2,2,0,4,3,0,4,5,4,4,4,3,1,3,3,4,1,2,3,1,3,4,3,2,1,2,1,3,2,3,3,4,3,1,4,4,4,3,1,3,3,2,3,2,4,1,2,4
3.0,0.99,0.91,0.89,0.85,0.9,1,1,0,300,1,2,0,5,3,0,4,5,5,3,1,4,2,2,2,1,3,5,2,4,1,2,3,1,4,1,4,4,4,1,1,2,4,4,5,3,1,4,2,2,2,4,5,2,4,1,5,4
2.75,0.9,0.69,0.66,0.74,0.9,1,2,0,300,1,0,1,2,0,3,3,5,3,2,3,5,4,1,2,2,5,4,1,3,1,1,5,3,4,4,5,2,3,4,5,4,4,1,3,2,3,5,4,1,2,3,2,3,2,3,4,3
2.89,0.7,0.88,0.9,0.81,0.66,0,4,1,300,2,2,1,3,1,2,4,5,4,4,5,1,3,4,1,3,3,5,1,3,2,2,1,3,1,1,2,4,2,1,1,4,4,1,4,4,5,1,3,4,1,5,3,4,4,1,1,4
2.48,0.69,0.7,0.7,0.95,0.78,1,0,1,200,2,1,1,5,5,1,3,3,3,1,5,5,2,3,4,2,2,3,4,1,1,5,3,3,2,2,4,3,1,2,4,2,2,3,3,1,5,5,2,3,4,2,1,1,2,3,1,3
3.26,0.78,0.83,0.83,0.4,0.92,2,0,0,200,4,1,0,3,2,0,5,3,5,5,3,1,2,1,4,3,3,3,3,2,3,4,3,5,5,5,1,3,4,3,3,5,1,3,2,2,3,5,1,5,1,1,1,1,1,1,3,3
2.92,0.7,0.5,0.7,0.89,0.85,1,4,1,200,3,0,2,0,3,2,4,4,4,3,2,3,1,1,5,2,4,3,2,3,1,4,3,5,2,1,3,5,3,1,1,1,3,3,4,3,2,3,1,1,5,3,1,1,5,5,4,4
2.67,0.79,0.98,0.79,0.91,0.69,2,3,0,200,1,2,2,5,3,2,2,1,3,3,2,4,3,4,3,3,2,4,2,4,5,2,2,1,3,3,3,2,4,4,3,5,4,4,3,3,2,4,3,4,3,2,2,2,2,3,4,2
2.81,0.66,0.69,0.69,0.55,0.89,2,3,0,300,2,3,2,3,3,2,5,3,4,2,3,3,3,3,4,2,5,1,5,2,3,3,3,4,5,4,3,4,5,3,3,4,2,5,3,3,5,5,3,3,1,1,2,2,2,3,3,1
2.41,0.7,0.7,0.79,0.66,0.88,1,2,0,300,1,2,1,1,3,1,3,2,3,4,4,3,4,4,3,3,2,2,1,2,1,2,3,2,4,3,1,1,4,4,3,3,2,2,3,4,4,3,4,4,3,3,1,1,1,4,5,3
3.41,0.89,0.7,0.7,1.0,0.89,1,3,0,300,2,1,1,2,0,2,4,2,1,3,3,4,3,2,3,2,2,3,4,3,2,4,3,5,5,2,2,3,1,3,5,1,3,3,1,3,3,4,3,2,3,2,1,2,5,2,5,4
3.24,0.85,0.79,0.73,1.0,0.57,0,3,1,300,2,2,0,4,3,3,2,2,4,1,2,1,2,5,2,3,1,4,2,3,3,4,4,2,4,3,2,4,2,5,4,1,3,2,4,1,2,1,2,5,2,2,5,5,2,3,3,2
2.89,0.6,0.88,0.79,0.86,0.69,1,1,0,300,2,1,0,3,1,2,1,2,5,2,2,2,4,3,4,3,1,4,4,1,4,4,2,2,3,3,2,4,1,1,3,3,5,3,5,2,2,2,4,3,4,3,3,2,4,4,3,1
3.06,0.89,0.79,0.73,0.94,0.96,0,1,0,300,1,4,0,5,1,3,3,3,1,2,1,5,5,1,4,5,3,4,1,1,5,2,1,4,1,1,3,1,3,1,3,5,3,4,1,2,1,5,5,1,4,5,3,2,2,2,2,3
3.24,0.79,0.7,0.91,0.91,1.0,2,3,1,300,2,2,0,2,0,2,2,3,4,3,3,3,3,3,4,3,5,2,3,1,2,2,2,2,4,1,3,1,3,2,1,4,1,2,4,3,3,3,3,3,4,4,4,3,3,3,5,2
2.38,0.95,0.79,0.75,0.82,0.89,1,1,1,200,2,2,0,5,2,0,2,1,2,1,1,1,1,1,2,1,4,1,4,1,2,3,3,3,3,3,2,3,2,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1
2.94,0.7,0.89,1.0,0.96,0.67,1,3,1,300,1,2,1,3,1,3,2,1,4,3,3,2,5,1,2,4,2,4,3,2,4,1,3,3,2,3,1,4,1,5,1,5,3,4,4,3,3,2,5,1,2,4,5,5,5,2,3,2
2.88,0.79,0.64,0.99,1.0,1.0,1,2,0,200,1,4,0,4,3,3,3,5,2,5,5,3,3,1,4,2,1,2,5,3,4,1,1,3,1,5,4,4,3,3,1,4,2,1,2,5,5,3,3,1,4,1,2,2,2,3,2,3
2.96,0.78,0.89,0.7,0.65,0.69,1,1,1,300,2,2,0,3,2,1,2,2,4,1,2,3,3,4,5,3,5,4,5,5,3,4,1,2,3,2,3,5,2,1,3,2,3,2,4,1,2,3,3,4,5,3,2,1,4,3,2,2
3.04,0.89,0.89,0.7,0.94,0.9,1,3,0,300,2,0,1,5,2,0,2,4,1,1,1,3,3,3,3,2,3,3,4,1,2,4,3,3,4,3,4,3,3,4,2,3,3,4,1,1,1,3,3,3,3,2,3,2,2,2,3,2
2.86,0.84,0.89,0.99,0.6,1.0,1,1,0,200,2,1,1,4,3,0,5,1,1,3,5,1,1,3,1,1,2,2,2,2,4,5,5,5,5,5,2,4,5,3,2,5,1,3,1,2,4,5,1,1,1,1,1,1,1,1,1,1
2.9,1.0,0.99,0.93,0.6,0.91,1,1,0,300,3,0,0,4,1,2,1,2,3,3,4,2,2,3,1,4,1,2,2,2,1,4,2,1,1,1,1,3,1,3,2,4,5,2,3,3,4,2,2,3,1,2,3,3,4,3,2,1
2.9,0.79,0.67,0.79,0.84,0.79,1,3,1,200,2,4,2,5,1,2,2,2,2,2,2,2,2,1,2,2,2,2,4,2,4,2,4,4,4,4,2,1,2,3,2,4,2,2,2,4,4,4,2,2,2,2,2,1,2,2,2,2
3.5,0.69,0.9,0.89,0.77,0.7,1,2,0,200,1,4,0,5,0,3,2,1,3,5,5,4,1,3,1,3,3,4,2,4,1,4,4,3,4,2,3,3,2,3,3,3,1,4,3,5,5,4,1,3,1,3,1,2,3,5,1,2
2.85,1.0,0.84,0.79,0.74,0.69,1,1,0,200,1,4,0,3,0,2,2,5,4,2,2,2,3,4,1,3,3,3,4,2,4,3,4,3,4,2,5,3,3,5,4,5,1,3,4,2,2,2,3,4,1,1,2,4,2,2,3,2
1.91,0.99,0.69,1.0,0.94,0.79,0,3,1,300,2,1,4,3,1,3,3,4,5,5,2,5,2,2,3,3,1,2,5,3,2,4,2,3,4,3,3,4,2,3,4,3,3,4,5,5,2,5,2,2,3,4,4,4,4,1,4,3
3.06,1.0,0.66,0.8,0.88,0.89,1,3,0,300,1,4,2,2,3,2,2,3,5,4,5,3,5,1,1,5,3,3,3,4,3,2,3,3,1,1,1,4,2,1,1,3,2,3,5,4,5,3,5,1,1,5,4,1,4,1,3,2
2.61,0.9,0.7,1.0,0.87,0.69,1,1,1,300,2,2,4,4,5,2,1,3,4,4,3,3,1,3,4,5,3,5,5,5,4,5,3,3,2,5,3,4,1,2,3,3,2,2,4,4,3,3,1,3,4,3,2,1,2,4,2,1
2.34,0.89,0.88,0.93,0.81,0.79,1,1,1,300,2,2,1,5,1,2,5,1,1,1,4,2,5,4,3,1,1,2,3,5,1,5,3,4,1,4,3,3,5,5,2,4,1,2,1,1,4,2,5,4,3,2,3,5,3,2,3,5
2.76,0.7,0.69,0.7,0.93,0.76,2,3,1,300,1,2,1,2,5,2,4,1,1,3,5,4,3,3,4,1,4,2,4,2,2,2,2,2,3,3,5,1,5,4,2,4,2,5,1,3,5,4,3,3,4,2,4,4,2,2,3,4
2.83,1.0,0.95,0.69,0.92,0.9,0,1,0,200,1,2,0,1,5,0,1,4,2,3,2,2,4,4,2,2,3,1,3,2,5,5,3,3,3,2,4,3,3,4,3,5,1,2,2,3,2,2,4,4,2,3,4,1,1,5,3,1
1.95,0.79,1.0,0.78,0.73,0.93,1,1,0,300,2,2,1,2,5,0,4,3,3,3,2,1,3,1,3,2,4,3,1,4,1,1,5,2,4,1,4,5,3,2,3,2,3,4,3,3,2,1,3,1,3,3,3,2,5,5,4,4
3.17,0.92,0.69,0.7,0.81,0.69,1,1,0,300,4,0,0,4,3,1,1,2,2,4,1,1,2,2,1,4,4,5,2,4,3,5,4,3,2,1,2,3,4,3,3,4,2,5,2,4,1,1,2,2,1,3,2,5,3,2,3,1
3.08,0.9,0.63,0.89,0.9,0.7,0,4,0,200,1,4,0,4,1,2,4,1,3,2,3,4,2,5,1,2,2,2,5,1,5,3,1,4,2,2,3,3,2,2,5,4,2,2,3,2,3,4,2,5,1,2,2,3,3,2,3,4
2.79,0.68,0.96,0.78,0.95,0.8,1,2,1,300,2,2,0,2,3,1,1,1,5,1,3,1,3,4,2,4,5,4,3,1,5,2,1,3,3,1,1,2,3,3,3,1,4,1,5,1,3,1,3,4,2,3,1,1,5,3,3,1
2.57,0.89,0.89,0.93,1.0,0.69,0,2,0,300,1,3,2,4,1,2,3,3,3,4,2,4,5,5,3,2,1,1,3,5,2,4,4,3,4,3,5,4,2,3,2,3,1,3,3,4,2,4,5,5,3,1,2,2,2,1,2,3
2.89,0.79,0.78,0.66,0.96,1.0,1,1,0,300,2,1,0,4,0,2,4,1,2,2,2,4,3,1,3,3,3,1,3,2,1,5,3,2,2,2,4,2,3,2,4,4,3,3,2,2,2,4,3,1,3,4,2,1,2,3,3,4
3.44,0.79,0.89,0.84,0.95,0.95,0,2,0,300,2,0,0,3,2,2,3,1,1,4,2,4,2,2,5,4,2,5,2,4,3,3,3,1,3,3,3,1,3,4,5,5,2,5,1,4,2,4,2,2,5,4,3,3,2,2,5,3
2.76,0.68,0.84,0.96,0.84,0.69,1,3,1,300,4,0,1,5,1,2,4,4,2,2,3,3,2,1,1,1,1,2,2,4,5,3,3,3,2,4,2,2,2,3,2,2,3,2,2,2,3,3,2,1,1,2,4,4,2,2,4,4
3.07,0.89,0.69,0.77,0.73,0.99,1,1,0,300,3,0,1,2,5,1,1,2,3,5,4,3,3,5,3,2,4,3,5,3,3,2,1,2,2,3,4,3,4,2,1,2,3,3,3,5,4,3,3,5,3,5,4,3,1,4,2,1
3.37,0.92,0.78,0.7,0.9,0.89,0,3,1,300,1,4,1,2,3,2,4,3,3,4,2,2,3,1,3,2,3,1,4,3,1,4,1,3,2,3,1,2,5,3,4,2,1,4,3,4,2,2,3,1,3,3,4,4,4,1,2,4
2.28,0.89,0.96,1.0,0.94,0.79,1,0,1,300,2,1,0,2,3,3,4,1,2,3,2,4,4,4,3,1,2,4,5,4,3,5,3,3,3,1,3,4,4,3,2,2,4,1,2,3,2,4,4,4,3,4,3,5,4,3,4,4
3.0,0.7,0.77,0.6,0.86,0.69,1,2,0,200,3,1,0,1,3,0,3,3,4,2,3,2,2,4,3,2,4,5,4,3,3,3,2,2,1,3,2,3,3,4,4,3,3,2,4,2,3,2,2,4,3,3,4,1,5,4,1,3
2.57,0.78,0.6,0.7,0.63,0.78,2,4,0,300,2,2,0,3,1,1,1,2,1,5,4,3,4,2,2,1,1,4,1,1,4,3,4,1,1,2,2,4,1,1,1,3,3,1,1,5,4,3,4,2,2,1,5,1,3,3,4,1
1.8,1.0,0.84,0.69,0.92,0.7,2,0,1,300,1,0,0,3,2,2,2,3,4,3,1,2,2,5,2,3,2,4,5,5,4,2,4,2,5,3,5,5,4,3,2,1,2,3,4,3,1,2,2,5,2,2,4,5,2,3,1,2
2.91,0.69,0.89,0.69,0.8,0.92,1,4,1,300,1,2,0,4,2,1,3,2,3,2,1,1,2,5,4,3,4,2,3,2,2,3,3,2,4,4,3,3,5,3,5,1,2,4,3,2,1,1,2,5,4,1,2,1,1,3,1,3
2.52,0.89,0.89,0.89,0.91,0.87,2,3,1,300,1,4,0,2,5,0,5,2,4,2,2,2,4,3,5,4,5,3,1,1,3,4,5,1,5,1,2,3,3,5,1,5,1,2,4,2,2,2,4,3,5,4,2,1,4,3,3,5
2.48,0.85,0.99,0.59,0.87,0.87,2,1,1,300,1,2,0,5,5,1,4,1,1,2,2,3,2,4,1,2,1,4,2,3,2,1,4,2,3,3,5,1,2,2,3,2,1,3,1,2,2,3,2,4,1,4,2,1,1,2,3,4
2.96,0.78,0.66,1.0,0.86,0.89,1,0,0,300,2,1,0,2,1,1,2,1,3,1,3,3,3,1,4,4,4,2,1,1,3,3,3,3,4,2,2,5,2,1,1,1,2,4,3,1,3,3,3,1,4,1,2,2,2,5,3,2
2.89,0.89,0.9,0.79,0.85,0.7,1,0,1,300,3,0,0,1,1,3,3,2,5,4,5,1,2,4,3,3,4,1,2,3,2,4,4,5,4,5,3,5,5,4,3,1,4,2,5,4,5,1,2,4,3,1,1,4,3,4,1,3
2.96,0.7,0.88,0.88,0.88,0.7,1,2,1,200,1,0,0,2,1,2,2,4,3,3,1,2,3,5,2,3,4,4,4,2,2,1,3,3,3,2,1,4,2,1,1,1,4,1,3,3,1,2,3,5,2,2,3,1,2,4,4,2
3.23,0.9,0.5,0.69,0.89,0.78,2,3,1,200,2,4,0,3,3,1,4,4,3,2,2,4,1,2,3,2,2,1,3,3,3,4,1,2,3,3,4,4,3,5,2,3,1,4,3,2,2,4,1,2,3,3,2,3,3,2,4,4
3.3,0.69,0.85,0.78,1.0,0.67,2,4,1,300,3,0,4,2,5,2,3,5,2,2,2,3,4,3,1,4,2,1,3,4,4,4,1,5,3,1,3,2,3,4,1,2,5,4,2,2,2,3,4,3,1,4,4,4,5,2,3,3
3.04,0.89,0.76,0.69,0.76,0.7,2,4,1,200,1,4,0,2,1,1,4,4,5,3,2,2,1,3,3,4,2,1,3,4,4,4,3,4,4,5,2,1,3,2,4,2,5,2,5,3,2,2,1,3,3,1,4,4,1,1,1,4
1.52,0.79,0.79,0.92,0.96,0.6,1,2,1,300,2,4,0,4,3,3,2,2,5,3,3,4,2,2,5,1,2,5,3,3,3,3,4,3,3,3,2,3,1,2,3,3,5,4,5,3,3,4,2,2,5,1,1,2,1,3,2,2
2.82,0.87,1.0,0.99,1.0,0.9,1,1,1,300,2,1,0,3,3,1,1,2,1,4,4,2,3,3,2,5,2,2,5,2,2,4,4,1,2,4,5,1,2,3,2,4,1,2,1,4,4,2,3,3,2,3,3,1,1,4,4,1
2.5,0.34,0.75,0.75,0.79,0.69,1,0,0,200,2,2,4,3,0,0,5,5,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,3,5,4,4,5,5,5,3,5,4,5,4,5,4,5,5,3,5,5
2.58,0.69,0.75,1.0,0.86,0.89,1,1,0,200,1,3,4,2,5,0,2,3,3,2,2,1,2,3,4,1,4,3,3,1,2,3,3,3,2,2,2,3,3,5,2,2,2,2,3,2,2,1,2,3,4,3,4,2,3,2,1,2
2.21,0.53,0.8,0.89,0.72,0.6,1,2,0,200,3,0,0,2,0,2,5,3,3,5,3,3,4,3,3,3,2,3,4,3,2,3,2,1,3,1,3,3,1,5,5,1,1,5,4,5,4,5,3,3,5,5,5,5,4,3,3,3
2.45,0.91,0.79,0.9,0.69,0.69,1,1,0,300,2,1,0,5,5,1,3,1,5,3,3,3,4,2,1,3,4,1,4,4,5,5,4,1,1,1,2,4,1,1,1,2,3,1,5,3,3,3,4,2,1,5,3,1,3,4,3,3
3.15,0.99,0.69,1.0,0.86,0.77,2,1,0,300,2,2,1,3,3,1,1,5,2,3,4,4,2,2,4,2,1,3,5,3,3,5,1,4,4,2,1,4,2,1,5,4,4,3,2,3,4,4,2,2,4,3,2,5,2,4,2,1
3.0,1.0,0.68,0.79,0.76,0.7,1,2,0,300,2,2,1,2,2,1,2,3,4,4,1,3,3,5,4,2,2,5,1,4,2,3,5,1,1,4,4,2,3,2,5,5,1,4,4,4,1,3,3,5,4,4,2,4,1,2,2,2
2.48,0.59,0.45,0.7,0.75,0.6,1,0,1,200,2,1,0,2,3,3,4,5,5,2,1,2,4,5,2,2,1,1,4,3,1,2,3,3,2,1,5,3,2,1,1,4,2,2,5,2,1,2,4,5,2,4,3,2,1,2,3,4
2.57,0.7,1.0,1.0,0.88,0.69,1,3,1,200,3,1,4,3,3,1,4,3,5,1,2,1,1,3,3,1,4,4,5,2,4,2,2,2,4,3,3,4,1,3,1,2,3,1,5,1,2,1,1,3,3,4,4,2,3,2,5,4
2.56,0.91,0.92,0.7,0.88,0.9,1,1,0,300,2,1,2,3,1,0,3,3,2,3,2,4,2,4,3,3,3,1,4,1,2,2,2,1,5,2,3,2,1,4,5,4,2,3,2,3,2,4,2,4,3,2,4,3,5,3,2,3
3.02,0.77,1.0,0.69,0.83,0.9,1,1,0,300,4,0,0,1,3,0,3,3,4,3,5,3,2,1,2,2,3,4,2,4,5,5,1,3,3,3,2,1,4,2,3,4,3,1,4,3,5,3,2,1,2,3,2,2,3,1,2,3
3.91,0.84,1.0,0.75,1.0,0.89,1,4,0,300,3,0,1,5,3,2,4,1,2,5,2,3,3,1,4,3,5,4,2,5,3,2,2,2,3,4,2,1,2,2,5,1,2,3,2,5,2,3,3,1,4,4,3,1,3,5,2,4
2.26,0.57,0.72,0.69,0.99,0.79,2,1,1,200,1,4,0,2,1,1,3,1,4,3,2,2,1,2,3,2,4,3,4,2,3,4,3,5,3,1,2,2,1,4,1,2,2,2,4,3,2,2,1,2,3,5,5,3,5,3,5,3
2.9,0.7,0.69,0.85,0.92,0.93,1,1,1,300,1,4,2,2,5,1,2,2,5,5,4,3,3,1,1,1,4,4,1,3,3,5,3,2,3,1,4,2,2,1,2,4,2,2,5,5,4,3,3,1,1,2,5,5,4,2,5,2
2.67,0.87,0.79,1.0,0.84,0.69,2,4,0,300,2,2,0,2,3,3,3,2,1,5,4,3,1,2,3,3,4,5,1,3,5,2,1,4,3,4,4,2,3,3,4,3,3,2,1,5,4,3,1,2,3,3,5,4,2,1,3,3
2.97,0.93,0.66,0.66,0.52,0.92,1,1,0,200,3,1,0,3,3,1,4,5,3,1,2,2,2,3,5,2,4,1,5,2,4,4,4,4,4,4,1,3,4,4,2,4,3,4,4,3,4,4,2,3,2,1,2,2,2,2,2,2
1.31,0.9,0.45,0.9,0.94,0.84,0,0,1,200,1,4,0,3,3,1,2,2,2,2,2,3,1,2,1,1,4,3,1,3,3,2,4,5,3,2,5,2,3,4,1,1,5,3,2,2,2,3,1,2,1,3,5,4,4,3,2,2
2.59,0.96,0.79,0.89,0.74,0.66,0,4,1,300,2,2,0,3,3,0,3,5,1,5,3,5,4,3,2,5,2,3,4,3,1,3,4,3,5,2,4,5,1,4,4,3,2,2,1,5,3,5,4,3,2,1,3,1,1,2,5,3
2.52,0.81,0.95,0.95,0.77,0.78,2,0,1,200,0,3,1,1,2,0,5,4,4,4,5,5,5,5,5,5,4,4,4,4,5,5,4,4,4,4,4,3,4,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,3,4,4,4
2.54,0.77,0.69,0.69,0.49,1.0,1,3,1,300,2,1,0,2,2,2,5,5,2,3,1,1,4,1,3,1,2,3,4,5,3,3,3,2,1,4,3,1,3,3,2,4,4,3,2,3,1,1,4,1,3,2,4,2,4,3,3,5
3.26,0.89,0.79,0.79,0.98,0.79,1,2,0,300,2,1,4,4,1,1,2,3,3,1,1,1,5,2,3,3,3,3,2,3,5,4,3,3,1,1,3,1,3,2,1,4,1,2,3,1,1,1,5,2,3,1,3,5,1,3,3,2
2.83,0.66,0.66,1.0,0.89,0.79,2,0,0,300,1,2,0,2,2,1,2,2,3,3,1,2,4,4,2,1,5,4,5,4,4,2,3,2,1,3,3,2,2,2,5,1,2,1,3,3,1,2,4,4,2,4,4,4,3,3,5,2
1.6,0.85,0.69,0.73,0.92,1.0,2,3,1,300,3,0,1,2,5,3,2,4,2,3,2,3,3,4,3,1,3,1,4,5,3,2,2,2,1,1,2,2,4,1,1,3,3,2,2,3,2,3,3,4,3,3,2,3,5,4,3,2
2.19,0.75,0.79,0.73,0.95,0.93,1,1,1,300,3,1,1,3,3,3,3,3,1,3,3,2,2,3,5,2,3,2,3,3,4,4,4,4,3,4,3,4,3,2,4,3,4,2,1,3,3,2,2,3,5,2,4,4,1,4,3,3
3.18,0.7,0.69,0.72,0.92,1.0,1,3,0,300,1,4,2,4,1,1,3,1,3,1,1,3,3,5,2,5,3,5,3,3,3,3,2,2,1,3,5,1,5,5,3,3,1,3,3,1,1,3,3,5,2,3,4,1,5,1,4,3
2.17,0.66,0.9,0.69,1.0,0.66,2,1,1,200,1,2,0,4,2,2,2,2,2,4,2,3,1,4,2,4,1,3,3,3,3,5,5,5,5,5,2,3,1,5,4,2,2,1,3,1,2,3,1,2,1,2,2,2,2,2,2,2
2.9,0.6,1.0,0.9,0.85,0.69,2,1,0,200,2,2,0,3,3,1,2,1,2,1,1,3,4,2,4,2,4,3,1,4,5,3,4,2,4,4,1,2,3,1,3,4,5,2,2,1,1,3,4,2,4,2,4,2,3,2,1,2
3.28,0.9,0.73,0.72,1.0,0.96,1,1,1,300,4,0,0,3,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,2,3,2,2,4,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2.56,0.7,0.64,0.7,0.9,0.96,2,2,1,200,2,1,1,2,2,1,3,4,1,1,3,1,3,2,1,1,1,4,3,3,2,3,3,3,4,2,1,5,3,3,3,1,4,1,1,1,3,1,3,2,1,4,4,3,5,4,4,3
3.05,0.79,0.79,0.8,0.67,0.85,1,2,0,200,0,2,1,1,1,0,5,5,4,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4
2.76,0.79,0.79,0.6,1.0,0.89,1,3,0,300,3,1,4,2,1,2,3,2,3,2,3,3,3,5,2,1,3,2,1,1,4,1,3,4,3,2,3,2,3,3,5,4,2,3,3,2,3,3,3,5,2,3,1,3,4,1,2,3
1.88,0.87,0.79,0.7,0.98,0.9,1,2,1,200,1,4,2,1,1,3,3,2,4,2,3,3,2,4,3,2,1,2,5,1,3,3,3,5,3,3,4,4,1,3,3,4,2,3,4,2,3,3,2,4,3,3,2,1,1,4,2,3
2.37,0.69,0.89,0.69,0.92,0.7,2,0,0,300,3,1,1,2,2,2,3,3,3,3,3,3,4,3,2,2,2,2,3,4,3,2,1,5,1,1,1,4,4,4,1,3,4,3,3,3,3,3,4,3,2,5,2,3,2,1,3,3
2.75,0.89,0.47,0.69,0.62,1.0,2,2,1,200,2,1,0,2,3,2,5,5,5,2,2,4,5,5,2,1,3,2,1,3,5,4,5,2,5,2,1,3,4,4,3,3,4,5,5,2,2,4,5,5,2,4,5,4,3,3,3,5
2.36,0.93,0.35,0.7,0.94,0.69,1,2,0,200,1,4,4,2,5,1,1,1,3,4,3,5,4,3,4,4,3,2,2,2,4,3,5,1,3,1,1,3,1,1,4,2,5,3,3,3,3,2,2,4,4,1,1,1,3,3,4,5
3.38,0.79,1.0,0.6,0.81,0.68,2,1,0,200,2,2,0,1,1,3,2,2,4,2,2,2,1,4,1,3,4,3,4,5,5,5,3,4,2,3,3,5,3,1,3,5,4,2,4,2,2,2,1,4,1,3,1,3,2,3,2,2
2.5,0.89,0.7,1.0,0.94,0.6,1,4,1,300,3,0,1,3,3,2,4,2,2,3,4,3,3,3,4,2,3,3,3,3,1,3,1,2,4,5,3,4,2,1,3,3,4,2,2,3,4,3,3,3,4,1,3,2,4,5,3,4
3.88,1.0,0.89,0.96,0.82,0.67,1,2,0,300,2,1,1,3,3,2,1,2,2,4,1,3,2,4,2,1,4,1,4,5,2,5,1,4,2,4,3,1,2,3,3,2,4,4,2,4,1,3,2,4,2,2,2,4,4,2,2,1
2.69,0.59,1.0,0.75,0.71,1.0,2,1,1,300,1,4,2,3,1,3,2,1,4,3,1,2,4,4,5,3,5,2,5,3,4,4,3,3,4,1,1,5,1,2,2,1,4,2,4,3,1,2,4,4,5,3,2,3,4,5,2,2
2.59,0.85,0.92,0.78,0.9,0.96,1,3,0,300,2,1,4,2,3,1,2,1,1,3,2,1,3,3,2,4,4,3,2,3,3,1,5,1,3,4,4,3,2,2,2,2,2,4,1,3,2,1,3,3,2,4,4,4,5,3,4,2
1.07,0.7,0.75,1.0,0.79,0.9,2,1,0,300,4,0,0,2,3,2,3,3,2,4,3,4,2,4,3,2,2,5,1,2,1,1,5,1,4,4,3,1,4,2,3,1,5,4,2,4,3,4,2,4,3,3,5,2,3,1,4,3
2.34,0.89,1.0,0.7,0.89,0.7,1,3,0,300,3,0,0,2,2,2,3,1,1,1,3,5,5,4,4,2,2,4,2,2,4,3,5,4,5,1,3,5,4,3,3,4,4,1,1,1,3,5,5,4,4,4,3,2,5,1,3,3
