GPA_S1,CA_AVG,EXAM_AVG,CLIN_AVG,LAB_AVG,ATT_RATE,ASSIGN_LATE,Age_group,SES,Financial_diff,Employment_hrs,Study_hrs_day,Sleep_hrs,Self_risk_percep,Reviews notes within 24h,Understands content pre-exam,Seeks help when stuck,Uses library regularly,Completes readings,Takes organised notes,Concentration in self-study,Participates in class,Clinical takes study time,Prepared for clinical assess,Rotations affect performance,Adequate supervision,Schedule conflicts,Confident in clinical skills,Anxious about assessments,Sleep difficulty,Burnt out,Hopeless/unmotivated,Physical health affected,Considered break,Emotionally supported,Lecturers approachable,Sleep affects concentration,Regular exercise,Balanced diet,Health interferes studies,Takes rest breaks,Sense of belonging,Participates in clubs,Adequate advisory support,Concerns taken seriously,Early intervention provided,Peer study groups effective,Knows where to get help,Programme prepares for career,Confident to complete prog,Can improve performance,Sets academic goals,Persists when difficult,Manages time effectively,Self-motivates,Feels prepared,Year_study,Gender_Female,Gender_Male,Programme_ENT,Programme_Nursing,RISK_LABEL
2.83,1.0,0.95,0.69,0.92,0.9,1,2,2,3,1,1,6,1,1,4,2,3,2,2,4,4,2,2,3,1,3,2,5,5,3,3,3,2,4,3,3,4,3,5,1,2,2,3,2,2,4,4,2,3,4,1,1,5,3,1,2,1,0,0,1,High Risk
2.5,0.69,0.79,0.78,0.92,0.78,3,3,3,2,3,1,2,3,4,5,2,4,4,4,5,1,2,4,3,1,2,4,4,2,2,4,4,2,2,2,3,3,1,5,5,3,2,4,4,4,5,1,2,5,4,2,4,2,5,4,3,1,0,0,1,Moderate Risk
3.41,0.6,0.89,0.87,0.92,0.89,2,3,4,2,3,2,3,4,1,1,4,3,3,4,3,3,3,1,5,4,2,2,3,3,3,3,3,3,3,3,1,2,2,2,5,3,4,3,3,4,3,3,3,1,2,3,2,3,3,1,3,1,0,0,1,Low Risk
2.35,0.69,0.89,0.59,0.98,0.88,2,3,2,5,2,5,3,3,3,5,2,2,2,2,2,4,3,3,3,5,2,2,2,4,1,3,1,5,3,3,4,3,4,4,3,2,2,2,2,2,2,4,3,4,2,4,4,5,1,3,3,0,1,0,1,High Risk
2.67,0.79,0.96,0.57,0.65,0.89,1,4,3,3,1,3,5,1,2,2,2,3,2,2,2,2,3,2,2,1,3,1,4,4,3,3,3,2,2,2,3,1,2,2,3,3,2,3,3,2,2,2,3,1,2,1,2,3,2,2,2,0,1,0,1,Moderate Risk
2.45,0.93,0.99,0.89,0.81,0.68,2,1,2,5,4,3,2,1,1,1,1,3,3,4,1,1,4,2,3,3,1,5,5,1,3,2,5,3,3,2,1,2,3,2,2,3,1,3,3,4,1,1,4,5,2,3,4,2,5,1,2,1,0,0,1,Low Risk
2.48,0.69,0.7,0.7,0.95,0.78,2,1,3,2,2,5,6,2,3,3,3,1,5,5,2,3,4,2,2,3,4,1,1,5,3,3,2,2,4,3,1,2,4,2,2,3,3,1,5,5,2,3,4,2,1,1,2,3,1,3,2,0,1,0,1,Low Risk
2.48,0.69,0.7,0.77,0.96,0.7,3,4,4,1,1,3,4,3,2,3,3,1,2,4,1,1,1,2,1,2,3,1,2,4,3,1,1,4,1,4,2,4,4,2,2,3,3,1,2,4,1,1,1,2,1,2,4,3,4,2,3,0,1,0,1,Low Risk
2.91,0.89,0.9,0.89,1.0,0.72,2,1,3,1,1,2,4,3,4,1,2,2,3,2,1,5,2,3,3,4,3,3,2,3,1,3,5,3,4,1,5,3,1,3,4,2,2,2,3,2,1,5,2,2,1,3,2,4,2,4,3,1,0,0,1,Low Risk
2.17,0.9,0.8,0.9,0.95,0.84,3,2,3,2,3,3,2,3,2,2,5,4,4,5,3,1,4,4,3,1,2,2,2,4,2,2,3,1,4,1,3,3,5,3,2,1,5,4,4,5,3,1,4,3,2,4,2,2,4,2,2,0,1,0,1,Moderate Risk
2.52,0.79,0.66,0.7,0.94,1.0,2,5,3,3,1,1,6,4,5,2,4,1,4,4,2,3,2,2,3,3,4,3,3,1,4,4,2,2,4,3,1,2,1,3,5,4,4,1,4,4,2,3,2,4,2,1,3,5,2,5,3,1,0,0,1,Low Risk
2.81,0.79,0.7,0.7,0.72,0.7,2,4,3,3,1,4,6,3,2,1,5,1,2,2,3,4,1,2,5,3,3,5,3,3,2,3,3,3,3,4,4,1,1,4,4,3,5,1,2,2,3,4,1,5,3,3,4,5,3,2,2,1,0,0,1,Low Risk
3.11,0.9,0.89,0.66,0.81,0.77,1,1,4,2,3,1,4,3,4,4,3,4,3,3,1,4,2,2,3,5,3,5,2,2,3,2,3,1,2,3,4,5,5,1,3,2,3,4,3,3,1,4,2,2,2,3,5,3,4,4,3,0,1,0,1,High Risk
2.81,0.79,0.9,0.9,0.88,0.73,1,2,2,5,1,4,6,3,5,4,4,1,4,3,3,2,3,3,2,5,1,1,1,3,5,3,1,3,3,1,4,4,1,3,4,1,4,1,4,3,3,2,3,3,2,3,2,3,3,5,3,1,0,0,1,Low Risk
3.19,0.69,0.95,0.69,1.0,0.69,3,1,4,2,2,3,4,3,1,2,2,1,5,1,2,3,3,2,4,1,3,3,2,5,3,3,2,1,1,4,2,3,2,1,4,1,2,1,5,1,2,3,3,4,4,3,3,4,5,1,2,0,1,0,1,Low Risk
3.02,1.0,0.77,0.69,0.82,0.6,2,3,2,3,4,4,4,3,3,4,2,5,4,2,3,2,3,2,4,4,5,2,4,5,4,4,2,4,3,2,1,3,1,1,1,1,2,5,4,2,3,2,3,3,3,1,3,4,2,3,3,1,0,0,1,Low Risk
1.58,0.69,0.69,0.79,0.51,0.9,1,2,3,3,4,2,4,3,4,2,1,3,5,3,3,4,3,1,1,4,2,1,2,2,3,4,3,5,2,5,1,2,2,2,1,2,1,3,5,3,3,4,3,1,2,3,2,5,5,4,3,0,1,0,1,High Risk
1.94,0.66,0.89,0.6,0.86,0.69,3,4,2,5,1,4,2,3,1,1,2,1,2,3,2,3,2,2,1,5,3,3,3,2,1,3,2,5,2,2,1,1,2,1,5,1,2,1,2,3,2,3,2,3,2,1,4,1,2,1,3,1,0,0,1,Moderate Risk
2.98,0.77,0.79,0.7,0.79,0.66,3,3,5,1,1,2,2,4,2,2,2,3,3,2,1,4,1,1,2,3,3,1,3,2,5,2,2,2,3,5,1,5,1,3,3,4,2,3,3,2,1,4,1,4,4,4,4,1,4,2,3,1,0,0,1,Low Risk
3.02,0.55,0.9,0.79,0.73,0.66,1,3,4,1,3,3,2,2,5,5,3,5,2,2,5,3,5,4,2,3,3,2,2,2,5,3,5,4,2,3,1,1,4,5,4,2,3,5,2,2,5,3,5,2,3,4,2,2,3,5,3,1,0,0,1,Moderate Risk
2.86,0.84,0.89,0.99,0.6,1.0,2,2,3,2,2,4,4,1,5,1,1,3,5,1,1,3,1,1,2,2,2,2,4,5,5,5,5,5,2,4,5,3,2,5,1,3,1,2,4,5,1,1,1,1,1,1,1,1,1,1,2,1,0,0,1,Low Risk
2.74,0.69,0.79,0.77,0.88,0.78,2,2,4,2,4,1,6,4,2,4,3,1,2,4,3,3,1,2,5,2,2,3,3,1,2,2,2,5,4,3,1,3,2,4,2,4,3,1,2,4,3,3,1,5,1,3,3,5,3,2,3,1,0,0,1,Low Risk
3.17,0.89,0.78,0.91,0.86,0.6,2,5,3,2,3,2,2,1,1,2,4,4,1,4,3,3,3,2,1,2,5,3,3,3,2,2,3,3,3,4,5,3,4,4,3,5,4,4,1,4,3,3,3,4,3,4,4,4,1,1,2,1,0,0,1,Low Risk
2.96,0.78,0.66,1.0,0.86,0.89,2,1,3,2,1,2,2,2,2,1,3,1,3,3,3,1,4,4,4,2,1,1,3,3,3,3,4,2,2,5,2,1,1,1,2,4,3,1,3,3,3,1,4,1,2,2,2,5,3,2,3,1,0,0,1,Low Risk
2.78,1.0,0.93,0.68,0.94,1.0,3,5,2,1,3,2,2,1,3,4,5,2,1,3,1,1,5,3,2,2,3,4,3,1,3,4,1,5,5,1,5,4,3,5,3,2,5,2,1,3,1,1,5,3,3,5,1,1,3,3,3,0,1,0,1,High Risk
2.76,0.79,1.0,0.8,0.8,0.91,2,2,2,1,1,5,2,2,4,3,3,4,2,4,4,2,3,2,1,4,2,1,3,1,5,1,3,2,3,3,2,2,1,5,1,4,3,4,2,4,4,2,3,2,4,4,1,3,5,4,3,0,1,0,1,Low Risk
2.19,0.79,0.8,0.88,0.73,0.73,2,5,2,4,1,2,2,3,3,3,3,1,3,2,3,2,1,2,3,1,3,4,3,4,2,3,4,3,3,2,2,3,1,4,5,4,3,1,3,2,3,2,1,5,3,3,1,3,2,3,2,0,1,0,1,Moderate Risk
2.92,0.7,0.94,0.79,0.71,0.7,2,4,3,3,2,2,2,2,5,5,3,5,3,3,3,1,5,2,3,3,1,4,5,2,2,3,4,2,2,5,3,4,2,3,2,1,3,5,3,3,3,1,5,3,4,1,3,1,3,5,2,0,1,0,1,Moderate Risk
3.45,0.7,0.89,0.79,0.76,0.7,2,2,3,1,3,1,3,2,2,2,3,3,4,3,2,3,3,4,3,3,4,2,1,3,3,5,5,3,1,4,2,3,2,1,1,5,3,3,4,3,2,3,3,2,3,4,3,3,3,2,3,0,1,0,1,Low Risk
3.22,0.89,0.88,0.79,1.0,0.69,3,1,3,3,3,2,4,4,1,3,1,2,5,3,3,1,4,3,4,4,3,4,5,4,5,5,2,4,3,4,3,3,1,3,4,2,1,2,5,3,3,1,4,2,2,2,2,3,1,1,3,0,1,0,1,Low Risk
2.5,0.59,0.7,0.96,0.95,1.0,2,1,2,3,1,4,4,3,4,2,3,2,3,1,2,2,2,4,3,3,3,2,4,2,4,4,2,4,1,1,4,3,2,5,1,3,3,2,3,1,2,2,2,5,3,1,2,1,4,4,3,1,0,0,1,Moderate Risk
3.02,0.96,0.8,0.66,0.9,1.0,1,2,3,1,1,3,2,2,2,4,5,3,5,3,3,2,4,1,1,4,1,2,2,1,3,3,3,5,4,3,1,3,2,4,2,4,5,3,5,3,3,2,4,2,2,5,1,4,3,2,3,1,0,0,1,Low Risk
2.52,0.89,0.78,1.0,0.94,1.0,1,2,3,2,2,5,3,1,4,5,1,3,5,4,3,3,5,3,4,4,3,2,4,5,5,1,5,2,4,5,2,5,5,2,3,3,1,3,5,4,3,3,5,2,3,3,2,3,4,4,2,0,1,0,1,Moderate Risk
3.0,0.69,1.0,0.78,0.99,1.0,1,2,2,5,4,3,1,3,2,2,2,4,3,3,2,5,4,4,5,5,2,4,3,3,3,4,4,5,5,2,4,2,5,5,2,4,2,4,3,3,2,5,4,4,4,1,3,4,1,2,3,1,0,0,1,Low Risk
3.15,0.7,0.67,0.85,0.77,0.96,1,2,2,5,1,3,6,2,3,2,3,5,5,4,3,3,3,3,4,3,3,3,2,3,3,3,2,2,4,1,3,4,2,4,2,4,3,5,5,4,3,3,3,2,2,5,4,2,2,3,2,0,1,0,1,Low Risk
3.3,0.69,0.93,0.69,0.88,0.88,2,4,5,1,1,2,4,2,2,3,3,1,1,4,4,5,2,4,3,3,3,4,2,4,4,2,3,1,5,3,1,3,5,4,1,1,3,1,1,4,4,5,2,2,2,3,4,3,3,2,3,1,0,0,1,Low Risk
2.85,0.7,0.7,0.89,0.83,1.0,2,2,3,5,1,2,2,3,4,3,3,1,4,1,2,2,3,2,2,3,1,2,1,3,3,3,5,2,3,1,2,3,3,2,3,4,3,1,4,1,2,2,3,4,1,1,4,4,3,4,2,1,0,0,1,Low Risk
2.79,0.79,0.98,0.6,0.93,0.78,2,2,3,2,2,4,2,3,2,3,4,2,2,3,4,2,2,3,4,3,4,1,2,3,3,4,4,4,5,3,3,4,3,5,2,2,4,2,2,3,4,2,2,5,3,4,4,3,4,2,2,1,0,0,1,Low Risk
1.33,0.6,0.93,0.89,0.89,0.77,1,4,3,5,1,2,4,2,3,3,3,4,5,5,1,2,4,2,3,3,3,4,2,2,4,4,4,2,3,2,1,1,3,2,4,1,3,4,5,5,1,2,4,2,5,4,1,3,2,3,3,0,1,0,1,High Risk
2.2,1.0,1.0,0.67,0.89,0.85,3,2,2,5,2,1,6,2,4,2,3,1,1,3,4,5,3,3,2,1,2,5,1,2,1,4,4,1,3,1,3,5,4,2,5,2,3,1,1,3,4,5,3,3,4,3,3,3,2,4,3,0,1,0,1,Moderate Risk
3.2,0.91,0.79,1.0,0.99,0.6,2,3,4,1,1,3,2,3,4,3,2,3,2,3,2,2,2,3,1,3,1,5,5,2,4,4,3,4,1,3,4,1,3,4,3,3,2,3,2,3,2,2,2,3,3,2,2,3,5,4,3,1,0,0,1,Low Risk
2.96,0.78,0.89,0.7,0.65,0.69,2,2,3,3,1,3,3,2,2,2,4,1,2,3,3,4,5,3,5,4,5,5,3,4,1,2,3,2,3,5,2,1,3,2,3,2,4,1,2,3,3,4,5,3,2,1,4,3,2,2,3,0,1,0,1,Low Risk
3.16,0.6,0.88,0.69,0.98,0.7,2,5,3,3,3,2,3,3,2,3,5,2,2,1,2,4,1,3,1,2,1,2,3,2,2,4,3,2,2,4,2,4,2,2,3,3,5,2,2,1,2,4,1,4,5,1,3,2,5,2,3,0,1,0,1,Low Risk
2.69,0.66,0.8,0.87,0.93,0.76,3,2,4,2,4,4,2,3,3,3,3,3,3,2,1,5,2,3,2,3,5,1,2,3,3,5,2,1,3,1,2,1,4,2,5,1,3,3,3,2,1,5,2,3,2,2,3,3,1,3,2,0,1,0,1,Low Risk
1.44,0.8,0.65,0.8,0.65,1.0,4,5,2,3,1,5,1,1,2,2,2,2,2,2,4,2,4,2,5,2,5,2,3,3,2,5,4,4,2,2,4,3,2,5,2,2,2,3,2,3,2,2,2,1,1,2,2,2,2,2,3,0,1,1,0,Moderate Risk
1.31,0.9,0.45,0.9,0.94,0.84,1,1,2,5,1,3,4,2,2,2,2,2,2,3,1,2,1,1,4,3,1,3,3,2,4,5,3,2,5,2,3,4,1,1,5,3,2,2,2,3,1,2,1,3,5,4,4,3,2,2,2,0,1,0,1,High Risk
2.52,0.55,0.7,0.9,0.89,0.79,2,2,3,2,2,5,2,3,3,5,3,2,5,2,4,3,2,2,4,4,1,4,4,3,3,1,3,5,2,3,3,4,1,5,4,1,3,2,5,2,4,3,2,3,1,4,1,3,5,3,2,1,0,0,1,Moderate Risk
3.1,0.89,0.8,0.6,0.92,0.95,1,3,2,3,1,4,2,3,2,2,1,4,5,5,1,1,4,3,3,4,4,4,5,3,1,2,2,2,4,2,5,4,3,2,1,2,1,4,5,5,1,1,4,5,3,2,4,1,5,2,2,0,1,0,1,Low Risk
3.72,0.83,0.83,1.0,0.85,0.89,4,3,4,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,5,4,3,5,5,5,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,3,1,0,1,0,High Risk
3.74,0.89,1.0,0.9,0.88,0.93,2,4,5,1,2,2,4,4,3,4,4,3,3,1,3,4,1,4,2,3,3,4,3,4,1,4,3,2,3,4,1,2,3,5,4,5,4,3,3,1,3,4,1,4,4,2,2,2,4,3,3,1,0,0,1,Low Risk
2.59,0.69,0.7,0.68,0.84,0.94,2,2,2,5,1,2,2,3,5,2,2,3,2,4,3,3,2,4,3,2,1,3,3,2,5,2,3,3,5,1,5,2,2,2,4,2,2,3,2,4,3,3,2,5,5,3,3,1,3,5,3,1,0,0,1,Moderate Risk
3.31,0.9,0.79,0.7,0.94,0.89,3,2,5,1,3,2,3,3,3,3,3,2,3,1,2,3,2,1,4,4,4,4,2,3,3,2,2,3,4,4,3,1,3,2,3,2,3,2,3,1,2,3,2,3,2,2,3,4,3,3,2,1,0,0,1,Low Risk
3.09,0.78,1.0,0.57,0.82,0.9,1,2,2,3,2,4,2,4,3,2,4,3,2,4,2,2,3,5,2,2,2,2,2,1,2,3,2,4,3,4,2,3,1,4,3,1,4,3,2,4,2,2,3,4,1,3,3,3,2,3,3,1,0,0,1,High Risk
1.5,0.67,0.63,0.68,0.63,0.68,3,4,3,3,4,2,6,4,2,2,2,2,1,1,1,1,2,2,2,2,2,2,5,5,4,3,3,5,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,2,1,1,2,0,1,0,1,High Risk
2.77,0.77,0.7,0.93,0.81,0.92,2,2,3,2,1,2,6,4,4,5,1,4,2,1,1,4,3,2,2,5,2,1,1,1,2,4,3,4,1,3,1,1,2,1,5,3,1,4,2,1,1,4,3,3,1,3,3,3,1,4,2,1,0,0,1,Moderate Risk
2.21,0.89,0.89,0.7,0.94,0.69,3,2,4,1,3,2,4,2,5,1,2,3,5,1,2,3,5,4,3,5,5,1,2,2,1,2,3,1,4,1,5,2,2,4,4,2,2,3,5,1,2,3,5,5,1,2,4,2,5,5,3,1,0,0,1,High Risk
3.44,0.79,0.89,0.84,0.95,0.95,1,3,3,1,1,3,3,3,3,1,1,4,2,4,2,2,5,4,2,5,2,4,3,3,3,1,3,3,3,1,3,4,5,5,2,5,1,4,2,4,2,2,5,4,3,3,2,2,5,3,3,1,0,0,1,Low Risk
2.56,0.91,0.92,0.7,0.88,0.9,2,2,3,2,3,3,2,1,3,3,2,3,2,4,2,4,3,3,3,1,4,1,2,2,2,1,5,2,3,2,1,4,5,4,2,3,2,3,2,4,2,4,3,2,4,3,5,3,2,3,3,1,0,0,1,High Risk
2.53,0.8,0.9,0.93,0.6,0.9,2,4,3,3,1,2,2,3,2,2,3,3,3,2,2,3,2,3,2,3,3,2,4,4,4,4,4,4,4,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,0,0,1,High Risk
2.59,0.89,0.88,0.89,0.91,0.6,2,3,3,1,4,3,2,4,3,4,3,3,2,3,3,1,1,2,2,3,2,3,3,4,3,3,5,1,3,5,4,4,3,1,1,2,3,3,2,3,3,1,1,2,2,1,5,1,4,3,3,1,0,0,1,Low Risk
1.93,1.0,0.6,0.96,0.84,0.69,3,3,3,1,2,4,2,3,3,5,3,1,1,3,4,4,2,3,4,5,3,3,1,1,2,3,2,1,3,2,1,4,2,1,3,4,3,1,1,3,4,4,2,2,5,3,4,4,3,3,3,1,0,0,1,High Risk
3.0,0.93,0.92,0.69,0.91,0.9,2,5,3,5,2,1,2,2,2,4,1,4,5,3,2,1,5,5,3,2,2,2,3,2,1,2,5,4,4,2,4,3,2,3,2,3,1,4,5,3,2,1,5,3,5,2,3,2,2,2,3,0,1,0,1,Low Risk
2.83,0.8,0.8,0.89,0.55,0.93,2,5,3,3,1,2,2,3,2,2,3,3,3,1,1,3,2,3,1,2,2,2,4,4,4,4,4,4,4,2,2,1,1,4,2,1,2,1,2,1,1,2,2,1,1,2,2,1,1,2,3,0,1,0,1,Moderate Risk
3.88,1.0,0.89,0.96,0.82,0.67,2,3,3,2,2,3,4,3,1,2,2,4,1,3,2,4,2,1,4,1,4,5,2,5,1,4,2,4,3,1,2,3,3,2,4,4,2,4,1,3,2,4,2,2,2,4,4,2,2,1,3,1,0,0,1,Low Risk
3.46,0.69,0.79,0.7,0.6,0.8,2,2,3,3,1,2,3,2,2,2,1,2,4,2,2,4,3,4,3,4,2,2,4,4,2,2,2,2,5,3,4,2,3,5,3,3,1,2,4,2,2,4,3,4,3,2,2,4,1,2,3,1,0,0,1,Low Risk
3.43,0.78,0.7,0.83,0.84,0.69,2,1,3,2,1,2,2,3,4,2,5,4,1,5,3,4,5,1,1,4,1,3,3,3,3,2,1,3,1,3,1,2,2,2,5,2,5,4,1,5,3,4,5,5,3,4,5,2,3,4,3,1,0,0,1,Low Risk
2.63,1.0,1.0,0.9,0.82,0.79,1,5,3,5,2,5,3,4,3,1,2,1,2,3,2,2,4,2,1,2,4,5,3,2,1,5,2,3,2,2,2,3,3,4,4,5,2,1,2,3,2,2,4,1,4,4,3,2,2,3,3,0,1,0,1,High Risk
3.19,0.66,0.92,0.69,0.86,0.85,2,4,3,3,1,3,2,3,3,3,5,2,3,4,3,4,4,4,4,4,4,2,5,4,4,5,2,4,1,3,1,1,2,1,3,2,5,2,3,4,3,4,4,4,4,3,1,3,4,3,2,1,0,0,1,Low Risk
2.73,0.79,0.78,0.69,0.9,1.0,3,2,3,3,2,2,4,3,4,2,4,3,4,3,4,3,1,2,5,1,5,5,4,1,2,5,2,5,3,3,3,1,1,1,2,5,4,3,4,3,4,3,1,3,5,4,4,3,2,4,3,1,0,0,1,Low Risk
2.62,0.89,0.49,1.0,0.94,0.7,2,3,3,2,2,4,4,2,1,3,2,2,3,4,2,3,5,3,4,1,1,1,1,1,2,5,2,3,4,5,4,3,3,4,5,1,1,1,1,3,3,3,5,1,2,1,1,1,3,3,2,1,0,0,1,High Risk
3.37,0.7,0.77,0.69,0.88,0.91,1,2,3,2,1,3,4,3,2,3,2,4,4,1,3,1,2,4,1,1,3,4,3,3,4,2,1,2,3,5,2,1,3,2,3,2,2,4,4,1,3,1,2,4,5,5,1,3,2,2,3,1,0,0,1,Low Risk
3.24,0.85,1.0,0.92,0.92,0.69,2,1,3,5,1,4,2,2,1,2,2,3,4,1,3,2,3,3,4,4,2,2,2,2,1,5,1,3,1,3,3,2,5,3,2,3,2,3,4,1,3,2,3,4,4,5,2,2,5,1,3,0,1,0,1,Low Risk
3.27,0.99,0.89,0.52,0.7,0.79,2,1,3,2,2,4,3,3,5,4,2,3,3,3,1,1,5,3,2,3,3,4,3,3,3,1,4,1,1,4,3,3,2,2,4,1,2,3,3,3,1,1,5,4,1,3,2,3,4,5,3,0,1,0,1,Low Risk
2.35,0.9,0.95,0.89,0.91,0.7,2,4,5,1,1,3,3,2,2,4,3,4,4,1,2,2,5,2,2,2,4,4,3,5,3,3,2,3,3,3,2,3,3,4,2,1,3,4,4,1,2,2,5,5,5,4,1,1,2,2,2,1,0,0,1,High Risk
2.86,0.69,0.78,0.88,0.85,1.0,2,2,3,2,1,2,2,2,2,2,2,1,2,3,1,2,5,2,4,2,5,2,4,4,2,4,3,5,1,2,2,4,2,4,2,2,4,4,4,3,1,1,1,1,1,1,1,1,1,1,2,1,0,0,1,Moderate Risk
3.0,1.0,0.68,0.79,0.76,0.7,2,3,3,3,2,2,3,2,2,3,4,4,1,3,3,5,4,2,2,5,1,4,2,3,5,1,1,4,4,2,3,2,5,5,1,4,4,4,1,3,3,5,4,4,2,4,1,2,2,2,3,1,0,0,1,Low Risk
2.87,0.67,0.7,0.85,0.64,0.96,2,4,2,3,2,2,4,2,2,2,4,2,2,4,1,4,3,2,3,2,3,3,2,3,4,3,4,4,3,3,4,1,4,2,2,3,4,2,2,4,1,4,3,5,4,3,4,2,5,2,3,0,1,0,1,Low Risk
3.14,0.7,0.66,0.79,1.0,0.7,2,2,3,2,1,2,2,4,3,1,3,4,3,1,5,5,5,1,1,2,5,3,1,3,3,2,1,4,3,5,3,4,5,2,5,2,3,4,3,1,5,5,5,4,2,4,2,1,4,3,3,1,0,0,1,High Risk
1.76,0.8,0.7,0.96,0.84,0.89,2,3,3,3,1,2,2,3,2,2,2,4,2,2,2,2,4,2,4,2,4,2,4,4,4,4,4,4,2,2,4,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,1,High Risk
3.48,0.95,0.82,0.82,0.87,0.9,1,2,3,5,1,3,3,3,3,3,3,5,4,3,3,3,5,2,4,2,4,1,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,0,0,1,Low Risk
3.48,0.77,1.0,1.0,0.62,0.68,3,4,3,3,2,4,6,1,5,3,4,2,1,2,3,1,4,1,5,4,1,4,4,5,3,3,3,5,1,1,3,5,2,3,2,1,4,2,1,2,3,1,4,1,4,1,2,2,2,5,2,0,1,0,1,Low Risk
3.06,0.96,0.89,0.69,0.72,0.93,2,2,3,1,2,2,4,3,5,3,4,2,2,4,3,3,2,1,3,4,2,1,1,4,5,1,3,2,3,2,3,3,5,4,2,3,4,2,2,4,3,3,2,5,3,4,2,1,4,5,3,1,0,0,1,Low Risk
2.26,0.82,0.75,0.6,0.93,0.88,2,3,3,3,2,4,3,3,4,3,2,2,3,2,2,3,2,3,1,3,2,3,2,3,2,3,4,3,3,4,2,3,4,2,3,2,4,4,4,4,2,4,2,2,3,3,2,3,4,3,2,1,0,0,1,High Risk
2.35,0.69,1.0,0.7,0.47,0.84,2,4,4,1,1,4,3,2,4,5,4,3,2,2,2,2,2,3,2,3,4,4,2,1,3,4,5,5,4,2,5,2,5,5,1,3,4,3,2,2,2,2,2,4,3,3,3,4,4,4,3,0,1,0,1,Low Risk
2.22,0.79,0.79,1.0,0.85,1.0,2,1,3,2,1,1,2,4,2,4,3,2,2,2,2,2,2,4,4,1,4,4,3,1,3,5,4,3,5,4,4,3,2,3,2,3,3,2,2,2,2,2,2,4,4,2,4,2,4,2,3,1,0,0,1,High Risk
1.88,0.89,0.6,0.66,0.97,0.69,3,2,3,1,1,2,4,3,2,4,5,1,2,4,2,5,3,5,3,3,2,2,2,2,1,1,3,3,3,2,3,3,2,5,2,2,5,1,2,4,2,5,3,1,2,2,1,5,2,2,3,1,0,0,1,High Risk
3.35,0.92,0.69,0.69,0.55,0.87,1,2,4,2,1,3,3,3,3,2,2,2,3,4,4,2,2,3,3,3,2,1,2,3,5,1,3,1,3,1,4,4,4,1,5,1,2,2,3,4,4,2,2,2,1,3,2,3,2,3,3,1,0,0,1,Low Risk
3.24,0.64,0.64,0.77,0.65,1.0,4,5,3,3,1,3,3,3,2,3,4,3,4,2,3,5,3,3,3,3,4,2,2,3,3,3,3,2,1,1,3,5,3,2,3,3,3,3,3,3,3,3,3,1,2,3,3,3,2,3,3,1,0,1,0,Moderate Risk
3.33,0.63,0.49,0.66,0.64,0.7,2,1,1,2,3,2,1,1,5,4,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,0,0,1,High Risk
2.87,0.65,0.81,0.85,0.85,1.0,4,4,3,4,1,3,5,1,2,2,5,2,2,5,3,2,3,3,3,4,4,1,2,5,2,2,5,4,2,2,5,5,5,5,5,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,1,0,1,0,High Risk
3.06,0.79,0.82,0.7,1.0,0.78,1,3,2,5,1,2,3,2,3,4,3,1,4,4,4,4,5,3,3,1,1,3,4,5,1,3,1,5,3,2,3,2,2,4,2,3,3,1,4,4,4,4,5,2,2,3,1,5,2,3,2,1,0,0,1,Low Risk
1.5,0.6,0.7,0.89,0.85,1.0,3,5,5,1,1,2,2,3,5,5,4,1,3,5,2,4,3,4,1,3,2,4,2,2,3,4,2,4,3,2,1,3,1,1,1,1,4,1,3,5,2,4,3,2,2,3,2,1,3,5,3,0,1,0,1,High Risk
2.98,0.89,0.6,0.7,0.91,1.0,2,2,2,5,1,3,2,2,2,1,3,2,1,2,2,3,5,3,3,3,2,3,2,3,3,5,2,4,3,3,4,2,2,4,1,4,3,2,1,2,2,3,5,3,2,4,2,2,1,2,3,1,0,0,1,Low Risk
3.07,0.7,0.55,0.79,0.97,0.79,3,3,3,2,1,4,1,3,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,3,3,2,2,3,2,2,2,2,2,3,3,3,3,2,3,2,3,4,3,1,1,2,2,2,2,1,2,0,1,0,1,Low Risk
3.43,0.87,0.66,0.99,0.93,0.89,2,2,2,5,1,3,6,1,3,3,3,5,3,4,2,1,4,3,3,2,3,1,3,2,3,2,5,4,4,5,3,3,4,3,2,5,3,5,3,4,2,1,4,4,3,3,4,2,5,3,3,1,0,0,1,Low Risk
3.11,0.7,0.6,0.78,0.97,0.93,2,4,2,5,1,1,2,2,2,2,4,2,2,3,5,3,3,1,3,2,1,2,2,3,3,4,3,2,1,4,4,2,4,4,5,1,4,2,2,3,5,3,3,4,3,2,3,2,3,2,3,1,0,0,1,Low Risk
