SID,GPA_S1,CA_AVG,EXAM_AVG,CLIN_AVG,LAB_AVG,ATT_RATE,ASSIGN_LATE,Age_group,Gender,Year_study,Programme,SES,Financial_diff,Employment_hrs,Study_hrs_day,Sleep_hrs,Self_risk_percep,Reviews notes within 24h,Understands content pre-exam,Seeks help when stuck,Uses library regularly,Completes readings,Takes organised notes,Concentration in self-study,Participates in class,Clinical takes study time,Prepared for clinical assess,Rotations affect performance,Adequate supervision,Schedule conflicts,Confident in clinical skills,Anxious about assessments,Sleep difficulty,Burnt out,Hopeless/unmotivated,Physical health affected,Considered break,Emotionally supported,Lecturers approachable,Sleep affects concentration,Regular exercise,Balanced diet,Health interferes studies,Takes rest breaks,Sense of belonging,Participates in clubs,Adequate advisory support,Concerns taken seriously,Early intervention provided,Peer study groups effective,Knows where to get help,Programme prepares for career,Confident to complete prog,Can improve performance,Sets academic goals,Persists when difficult,Manages time effectively,Self-motivates,Feels prepared,RISK_LABEL,RISK_BINARY
HS2026384,2.61,0.9,0.7,1.0,0.87,0.69,Rarely,21-23 years,Male,300,Nursing,Middle income,Sometimes (monthly),Yes - more than 20 hours/week,3-4 hours,More than 8 hours,Moderate risk,1,3,4,4,3,3,1,3,4,5,3,5,5,5,4,5,3,3,2,5,3,4,1,2,3,3,2,2,4,4,3,3,1,3,4,3,2,1,2,4,2,1,High Risk,1
HS2026462,2.8,1.0,0.7,0.9,0.89,0.89,Rarely,21-23 years,Male,300,Nursing,Low income,Always,Yes - fewer than 10 hours/week,3-4 hours,Less than 4 hours,High risk,1,3,3,3,2,1,1,4,3,3,2,5,2,3,5,5,2,4,3,3,1,2,5,1,4,5,3,4,3,3,2,1,1,4,3,3,3,5,1,5,5,1,Moderate Risk,1
HS2026550,3.22,0.88,0.93,0.6,0.69,1.0,Sometimes,24-26 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),Yes - 10-20 hours/week,1-2 hours,6-7 hours,Low risk,2,1,3,5,1,3,4,1,4,3,1,2,1,3,3,3,2,1,1,2,2,3,2,4,4,4,5,2,3,5,1,3,4,1,4,2,1,3,4,5,3,2,Low Risk,0
HS2026075,2.36,0.93,0.35,0.7,0.94,0.69,Rarely,24-26 years,Female,200,Nursing,Low income,Always,Yes - more than 20 hours/week,1-2 hours,More than 8 hours,Low risk,1,1,3,4,3,5,4,3,4,4,3,2,2,2,4,3,5,1,3,1,1,3,1,1,4,2,5,3,3,3,3,2,2,4,4,1,1,1,3,3,4,5,Low Risk,0
HS2026501,3.09,0.79,0.69,0.69,1.0,1.0,Sometimes,27-29 years,Female,300,Nursing,Low income,Sometimes (monthly),Yes - more than 20 hours/week,1-2 hours,6-7 hours,Moderate risk,2,2,4,1,2,1,2,1,3,2,4,3,2,3,4,4,4,4,4,5,4,2,5,2,5,5,1,3,4,1,2,1,2,1,3,2,1,2,2,5,4,2,Low Risk,0
HS2026285,2.55,0.99,0.87,1.0,0.9,0.91,Rarely,24-26 years,Male,300,Nursing,Upper-middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,3-4 hours,6-7 hours,Low risk,3,3,4,4,4,3,1,3,2,1,2,3,4,1,3,1,1,1,3,3,2,4,2,3,1,2,5,3,4,4,4,3,1,3,2,3,4,5,2,5,2,3,Low Risk,0
HS2026430,3.09,0.92,0.7,0.93,1.0,1.0,Sometimes,27-29 years,Male,300,Nursing,Low income,Always,No,1-2 hours,4-5 hours,Low risk,2,3,5,2,2,5,3,4,4,3,3,3,3,4,5,3,3,5,3,4,3,5,4,2,1,4,3,3,5,2,2,5,3,4,4,4,2,3,3,1,5,2,Low Risk,0
HS2026353,3.06,0.78,0.7,1.0,0.72,0.69,Sometimes,21-23 years,Male,300,Nursing,High income,Never,Yes - more than 20 hours/week,1-2 hours,4-5 hours,Very low risk,5,2,5,3,3,4,1,3,2,3,3,2,2,2,2,3,4,3,3,4,3,1,2,3,4,3,1,4,5,3,3,4,1,3,2,5,2,4,3,5,4,5,Low Risk,0
HS2026313,2.75,1.0,0.7,0.55,0.9,0.69,Rarely,21-23 years,Male,300,Nursing,Middle income,Never,No,1-2 hours,6-7 hours,Moderate risk,3,4,1,3,4,3,4,1,4,4,1,1,4,4,2,2,4,5,3,2,1,2,4,2,3,2,5,4,1,3,4,3,4,1,4,2,4,2,2,3,3,3,Low Risk,0
HS2026519,2.54,0.79,1.0,0.7,0.99,0.7,Rarely,21-23 years,Female,300,Nursing,Low income,Sometimes (monthly),Yes - 10-20 hours/week,More than 4 hours,6-7 hours,High risk,3,1,2,2,4,5,3,5,5,3,1,2,3,5,3,5,1,2,2,5,5,2,4,3,3,3,4,4,2,2,4,5,3,5,5,3,3,5,4,2,3,3,Moderate Risk,1
HS2026001,2.81,0.8,0.6,0.8,0.63,0.9,Rarely,21-23 years,Male,200,Nursing,Upper-middle income,Always,No,3-4 hours,4-5 hours,Low risk,2,2,4,2,3,2,2,2,3,3,4,5,4,3,4,4,4,4,4,5,2,3,4,1,4,4,1,3,3,3,3,4,2,2,2,1,2,2,2,3,2,2,Moderate Risk,1
HS2026078,2.19,0.67,0.7,0.69,1.0,0.9,Rarely,21-23 years,Male,200,Nursing,Low income,Always,No,3-4 hours,More than 8 hours,Moderate risk,3,3,4,2,4,2,4,4,5,3,2,3,3,4,5,2,1,5,1,1,1,5,3,1,2,3,5,1,4,2,4,2,4,4,5,1,5,3,1,4,2,3,Moderate Risk,1
HS2026310,2.16,0.89,0.73,0.83,0.68,0.7,Almost never,24-26 years,Male,300,Nursing,Middle income,Never,Yes - fewer than 10 hours/week,2-3 hours,More than 8 hours,High risk,2,2,5,4,1,2,4,4,2,3,3,5,2,3,5,3,3,5,3,3,2,3,2,3,5,2,2,3,5,4,1,2,4,4,2,5,3,2,2,4,2,2,Low Risk,0
HS2026359,2.69,0.66,1.0,0.69,0.9,0.9,Almost never,21-23 years,Male,300,Nursing,Low income,Sometimes (monthly),No,3-4 hours,6-7 hours,Low risk,5,2,1,5,5,3,2,1,4,2,1,3,3,5,4,1,2,4,5,3,2,4,5,2,5,5,2,2,1,5,5,3,2,1,4,4,4,2,2,1,4,5,Moderate Risk,1
HS2026036,2.17,0.63,0.69,0.69,0.88,0.59,Rarely,18-20 years,Male,300,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,5-6 hours,Low risk,2,1,2,2,3,4,3,1,2,3,2,2,4,2,5,5,4,5,4,5,4,1,2,3,1,5,2,3,2,2,2,3,1,4,2,2,2,2,1,1,1,1,Moderate Risk,1
HS2026330,2.45,0.7,0.69,1.0,1.0,0.7,Rarely,27-29 years,Male,300,Nursing,Low income,Always,No,3-4 hours,More than 8 hours,Moderate risk,2,2,4,1,2,2,1,5,1,2,4,1,2,2,1,3,5,2,4,3,3,2,4,2,2,5,1,4,4,1,2,2,1,5,1,5,5,2,4,1,2,2,Low Risk,0
HS2026338,2.64,0.9,0.96,0.7,0.88,0.9,Almost never,21-23 years,Male,300,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,2-3 hours,4-5 hours,High risk,4,3,1,4,2,5,2,4,3,2,4,4,1,3,1,3,5,1,3,3,2,4,3,1,3,2,3,4,1,4,2,5,2,4,3,3,4,3,5,3,3,4,Low Risk,0
HS2026032,3.36,0.63,0.89,0.9,0.99,1.0,Sometimes,18-20 years,Female,300,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,5-6 hours,Moderate risk,3,4,3,3,3,2,3,3,4,3,3,3,3,2,3,3,4,4,4,5,2,3,3,4,2,3,3,2,3,3,3,2,3,2,2,2,2,2,3,2,3,1,Low Risk,0
HS2026409,2.63,0.73,0.7,0.7,1.0,0.59,Sometimes,21-23 years,Male,300,Nursing,Middle income,Never,Yes - fewer than 10 hours/week,2-3 hours,6-7 hours,Low risk,3,2,4,5,3,3,2,5,3,2,3,2,3,1,2,2,4,2,3,3,3,3,5,4,3,4,1,2,4,5,3,3,2,5,3,3,3,4,3,3,2,3,Low Risk,0
HS2026565,1.95,0.7,0.7,0.6,0.64,1.0,Rarely,24-26 years,Male,300,Nursing,Low income,Sometimes (monthly),No,1-2 hours,6-7 hours,High risk,3,5,3,5,3,1,4,1,1,4,1,2,5,4,5,1,4,3,3,3,4,3,3,4,2,3,3,4,3,5,3,1,4,1,1,3,2,2,1,3,3,3,Low Risk,0
HS2026532,2.98,0.99,0.7,0.89,0.91,0.91,Rarely,18-20 years,Female,300,Nursing,High income,Never,Yes - more than 20 hours/week,3-4 hours,6-7 hours,Low risk,3,4,1,3,1,3,2,2,2,2,4,2,3,3,4,3,5,2,2,4,5,1,5,4,5,3,3,4,1,3,1,3,2,2,2,2,4,4,4,5,2,3,Low Risk,0
HS2026086,2.43,0.93,0.69,0.77,0.84,0.66,Almost never,27-29 years,Male,200,Nursing,Middle income,Never,Yes - 10-20 hours/week,More than 4 hours,4-5 hours,Low risk,4,5,2,4,3,3,3,4,3,2,5,3,4,4,4,2,3,3,2,3,1,2,2,2,4,3,2,5,2,4,3,3,3,4,3,3,4,2,2,4,3,4,High Risk,1
HS2026149,2.83,1.0,0.95,0.69,0.92,0.9,Almost never,21-23 years,Female,200,Nursing,Low income,Sometimes (monthly),No,Less than 1 hour,More than 8 hours,Very low risk,1,4,2,3,2,2,4,4,2,2,3,1,3,2,5,5,3,3,3,2,4,3,3,4,3,5,1,2,2,3,2,2,4,4,2,3,4,1,1,5,3,1,High Risk,1
HS2026389,2.5,0.69,0.79,0.78,0.92,0.78,Sometimes,24-26 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),Yes - 10-20 hours/week,Less than 1 hour,4-5 hours,Moderate risk,4,5,2,4,4,4,5,1,2,4,3,1,2,4,4,2,2,4,4,2,2,2,3,3,1,5,5,3,2,4,4,4,5,1,2,5,4,2,4,2,5,4,Moderate Risk,1
HS2026489,3.41,0.6,0.89,0.87,0.92,0.89,Rarely,24-26 years,Female,300,Nursing,Upper-middle income,Rarely (once or twice a semester),Yes - 10-20 hours/week,1-2 hours,5-6 hours,High risk,1,1,4,3,3,4,3,3,3,1,5,4,2,2,3,3,3,3,3,3,3,3,1,2,2,2,5,3,4,3,3,4,3,3,3,1,2,3,2,3,3,1,Low Risk,0
HS2026440,2.35,0.69,0.89,0.59,0.98,0.88,Rarely,24-26 years,Male,300,Nursing,Low income,Always,Yes - fewer than 10 hours/week,More than 4 hours,5-6 hours,Moderate risk,3,5,2,2,2,2,2,4,3,3,3,5,2,2,2,4,1,3,1,5,3,3,4,3,4,4,3,2,2,2,2,2,2,4,3,4,2,4,4,5,1,3,High Risk,1
HS2026044,2.67,0.79,0.96,0.57,0.65,0.89,Almost never,27-29 years,Male,200,Nursing,Middle income,Sometimes (monthly),No,2-3 hours,7-8 hours,Very low risk,2,2,2,3,2,2,2,2,3,2,2,1,3,1,4,4,3,3,3,2,2,2,3,1,2,2,3,3,2,3,3,2,2,2,3,1,2,1,2,3,2,2,Moderate Risk,1
HS2026106,2.45,0.93,0.99,0.89,0.81,0.68,Rarely,18-20 years,Female,200,Nursing,Low income,Always,Yes - more than 20 hours/week,2-3 hours,4-5 hours,Very low risk,1,1,1,3,3,4,1,1,4,2,3,3,1,5,5,1,3,2,5,3,3,2,1,2,3,2,2,3,1,3,3,4,1,1,4,5,2,3,4,2,5,1,Low Risk,0
HS2026132,2.48,0.69,0.7,0.7,0.95,0.78,Rarely,18-20 years,Male,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,More than 4 hours,More than 8 hours,Low risk,3,3,3,1,5,5,2,3,4,2,2,3,4,1,1,5,3,3,2,2,4,3,1,2,4,2,2,3,3,1,5,5,2,3,4,2,1,1,2,3,1,3,Low Risk,0
HS2026305,2.48,0.69,0.7,0.77,0.96,0.7,Sometimes,27-29 years,Male,300,Nursing,Upper-middle income,Never,No,2-3 hours,6-7 hours,Moderate risk,2,3,3,1,2,4,1,1,1,2,1,2,3,1,2,4,3,1,1,4,1,4,2,4,4,2,2,3,3,1,2,4,1,1,1,2,1,2,4,3,4,2,Low Risk,0
HS2026406,2.91,0.89,0.9,0.89,1.0,0.72,Rarely,18-20 years,Female,300,Nursing,Middle income,Never,No,1-2 hours,6-7 hours,Moderate risk,4,1,2,2,3,2,1,5,2,3,3,4,3,3,2,3,1,3,5,3,4,1,5,3,1,3,4,2,2,2,3,2,1,5,2,2,1,3,2,4,2,4,Low Risk,0
HS2026178,2.17,0.9,0.8,0.9,0.95,0.84,Sometimes,21-23 years,Male,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - 10-20 hours/week,2-3 hours,4-5 hours,Moderate risk,2,2,5,4,4,5,3,1,4,4,3,1,2,2,2,4,2,2,3,1,4,1,3,3,5,3,2,1,5,4,4,5,3,1,4,3,2,4,2,2,4,2,Moderate Risk,1
HS2026546,2.52,0.79,0.66,0.7,0.94,1.0,Rarely,30-35 years,Female,300,Nursing,Middle income,Sometimes (monthly),No,Less than 1 hour,More than 8 hours,High risk,5,2,4,1,4,4,2,3,2,2,3,3,4,3,3,1,4,4,2,2,4,3,1,2,1,3,5,4,4,1,4,4,2,3,2,4,2,1,3,5,2,5,Low Risk,0
HS2026077,2.81,0.79,0.7,0.7,0.72,0.7,Rarely,27-29 years,Female,200,Nursing,Middle income,Sometimes (monthly),No,3-4 hours,More than 8 hours,Moderate risk,2,1,5,1,2,2,3,4,1,2,5,3,3,5,3,3,2,3,3,3,3,4,4,1,1,4,4,3,5,1,2,2,3,4,1,5,3,3,4,5,3,2,Low Risk,0
HS2026457,3.11,0.9,0.89,0.66,0.81,0.77,Almost never,18-20 years,Male,300,Nursing,Upper-middle income,Rarely (once or twice a semester),Yes - 10-20 hours/week,Less than 1 hour,6-7 hours,Moderate risk,4,4,3,4,3,3,1,4,2,2,3,5,3,5,2,2,3,2,3,1,2,3,4,5,5,1,3,2,3,4,3,3,1,4,2,2,2,3,5,3,4,4,High Risk,1
HS2026366,2.81,0.79,0.9,0.9,0.88,0.73,Almost never,21-23 years,Female,300,Nursing,Low income,Always,No,3-4 hours,More than 8 hours,Moderate risk,5,4,4,1,4,3,3,2,3,3,2,5,1,1,1,3,5,3,1,3,3,1,4,4,1,3,4,1,4,1,4,3,3,2,3,3,2,3,2,3,3,5,Low Risk,0
HS2026157,3.19,0.69,0.95,0.69,1.0,0.69,Sometimes,18-20 years,Male,200,Nursing,Upper-middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,2-3 hours,6-7 hours,Moderate risk,1,2,2,1,5,1,2,3,3,2,4,1,3,3,2,5,3,3,2,1,1,4,2,3,2,1,4,1,2,1,5,1,2,3,3,4,4,3,3,4,5,1,Low Risk,0
HS2026539,3.02,1.0,0.77,0.69,0.82,0.6,Rarely,24-26 years,Female,300,Nursing,Low income,Sometimes (monthly),Yes - more than 20 hours/week,3-4 hours,6-7 hours,Moderate risk,3,4,2,5,4,2,3,2,3,2,4,4,5,2,4,5,4,4,2,4,3,2,1,3,1,1,1,1,2,5,4,2,3,2,3,3,3,1,3,4,2,3,Low Risk,0
HS2026478,1.58,0.69,0.69,0.79,0.51,0.9,Almost never,21-23 years,Male,300,Nursing,Middle income,Sometimes (monthly),Yes - more than 20 hours/week,1-2 hours,6-7 hours,Moderate risk,4,2,1,3,5,3,3,4,3,1,1,4,2,1,2,2,3,4,3,5,2,5,1,2,2,2,1,2,1,3,5,3,3,4,3,1,2,3,2,5,5,4,High Risk,1
HS2026522,1.94,0.66,0.89,0.6,0.86,0.69,Sometimes,27-29 years,Female,300,Nursing,Low income,Always,No,3-4 hours,4-5 hours,Moderate risk,1,1,2,1,2,3,2,3,2,2,1,5,3,3,3,2,1,3,2,5,2,2,1,1,2,1,5,1,2,1,2,3,2,3,2,3,2,1,4,1,2,1,Moderate Risk,1
HS2026500,2.98,0.77,0.79,0.7,0.79,0.66,Sometimes,24-26 years,Female,300,Nursing,High income,Never,No,1-2 hours,4-5 hours,High risk,2,2,2,3,3,2,1,4,1,1,2,3,3,1,3,2,5,2,2,2,3,5,1,5,1,3,3,4,2,3,3,2,1,4,1,4,4,4,4,1,4,2,Low Risk,0
HS2026464,3.02,0.55,0.9,0.79,0.73,0.66,Almost never,24-26 years,Female,300,Nursing,Upper-middle income,Never,Yes - 10-20 hours/week,2-3 hours,4-5 hours,Low risk,5,5,3,5,2,2,5,3,5,4,2,3,3,2,2,2,5,3,5,4,2,3,1,1,4,5,4,2,3,5,2,2,5,3,5,2,3,4,2,2,3,5,Moderate Risk,1
HS2026068,2.86,0.84,0.89,0.99,0.6,1.0,Rarely,21-23 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,3-4 hours,6-7 hours,Very low risk,5,1,1,3,5,1,1,3,1,1,2,2,2,2,4,5,5,5,5,5,2,4,5,3,2,5,1,3,1,2,4,5,1,1,1,1,1,1,1,1,1,1,Low Risk,0
HS2026509,2.74,0.69,0.79,0.77,0.88,0.78,Rarely,21-23 years,Female,300,Nursing,Upper-middle income,Rarely (once or twice a semester),Yes - more than 20 hours/week,Less than 1 hour,More than 8 hours,High risk,2,4,3,1,2,4,3,3,1,2,5,2,2,3,3,1,2,2,2,5,4,3,1,3,2,4,2,4,3,1,2,4,3,3,1,5,1,3,3,5,3,2,Low Risk,0
HS2026092,3.17,0.89,0.78,0.91,0.86,0.6,Rarely,30-35 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - 10-20 hours/week,1-2 hours,4-5 hours,Very low risk,1,2,4,4,1,4,3,3,3,2,1,2,5,3,3,3,2,2,3,3,3,4,5,3,4,4,3,5,4,4,1,4,3,3,3,4,3,4,4,4,1,1,Low Risk,0
HS2026531,2.96,0.78,0.66,1.0,0.86,0.89,Rarely,18-20 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),No,1-2 hours,4-5 hours,Low risk,2,1,3,1,3,3,3,1,4,4,4,2,1,1,3,3,3,3,4,2,2,5,2,1,1,1,2,4,3,1,3,3,3,1,4,1,2,2,2,5,3,2,Low Risk,0
HS2026396,2.78,1.0,0.93,0.68,0.94,1.0,Sometimes,30-35 years,Male,300,Nursing,Low income,Never,Yes - 10-20 hours/week,1-2 hours,4-5 hours,Very low risk,3,4,5,2,1,3,1,1,5,3,2,2,3,4,3,1,3,4,1,5,5,1,5,4,3,5,3,2,5,2,1,3,1,1,5,3,3,5,1,1,3,3,High Risk,1
HS2026428,2.76,0.79,1.0,0.8,0.8,0.91,Rarely,21-23 years,Male,300,Nursing,Low income,Never,No,More than 4 hours,4-5 hours,Low risk,4,3,3,4,2,4,4,2,3,2,1,4,2,1,3,1,5,1,3,2,3,3,2,2,1,5,1,4,3,4,2,4,4,2,3,2,4,4,1,3,5,4,Low Risk,0
HS2026104,2.19,0.79,0.8,0.88,0.73,0.73,Rarely,30-35 years,Male,200,Nursing,Low income,Often (weekly),No,1-2 hours,4-5 hours,Moderate risk,3,3,3,1,3,2,3,2,1,2,3,1,3,4,3,4,2,3,4,3,3,2,2,3,1,4,5,4,3,1,3,2,3,2,1,5,3,3,1,3,2,3,Moderate Risk,1
HS2026126,2.92,0.7,0.94,0.79,0.71,0.7,Rarely,27-29 years,Male,200,Nursing,Middle income,Sometimes (monthly),Yes - fewer than 10 hours/week,1-2 hours,4-5 hours,Low risk,5,5,3,5,3,3,3,1,5,2,3,3,1,4,5,2,2,3,4,2,2,5,3,4,2,3,2,1,3,5,3,3,3,1,5,3,4,1,3,1,3,5,Moderate Risk,1
HS2026278,3.45,0.7,0.89,0.79,0.76,0.7,Rarely,21-23 years,Male,300,Nursing,Middle income,Never,Yes - 10-20 hours/week,Less than 1 hour,5-6 hours,Low risk,2,2,3,3,4,3,2,3,3,4,3,3,4,2,1,3,3,5,5,3,1,4,2,3,2,1,1,5,3,3,4,3,2,3,3,2,3,4,3,3,3,2,Low Risk,0
HS2026557,3.22,0.89,0.88,0.79,1.0,0.69,Sometimes,18-20 years,Male,300,Nursing,Middle income,Sometimes (monthly),Yes - 10-20 hours/week,1-2 hours,6-7 hours,High risk,1,3,1,2,5,3,3,1,4,3,4,4,3,4,5,4,5,5,2,4,3,4,3,3,1,3,4,2,1,2,5,3,3,1,4,2,2,2,2,3,1,1,Low Risk,0
HS2026231,2.5,0.59,0.7,0.96,0.95,1.0,Rarely,18-20 years,Female,300,Nursing,Low income,Sometimes (monthly),No,3-4 hours,6-7 hours,Moderate risk,4,2,3,2,3,1,2,2,2,4,3,3,3,2,4,2,4,4,2,4,1,1,4,3,2,5,1,3,3,2,3,1,2,2,2,5,3,1,2,1,4,4,Moderate Risk,1
HS2026569,3.02,0.96,0.8,0.66,0.9,1.0,Almost never,21-23 years,Female,300,Nursing,Middle income,Never,No,2-3 hours,4-5 hours,Low risk,2,4,5,3,5,3,3,2,4,1,1,4,1,2,2,1,3,3,3,5,4,3,1,3,2,4,2,4,5,3,5,3,3,2,4,2,2,5,1,4,3,2,Low Risk,0
HS2026163,2.52,0.89,0.78,1.0,0.94,1.0,Almost never,21-23 years,Male,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,More than 4 hours,5-6 hours,Very low risk,4,5,1,3,5,4,3,3,5,3,4,4,3,2,4,5,5,1,5,2,4,5,2,5,5,2,3,3,1,3,5,4,3,3,5,2,3,3,2,3,4,4,Moderate Risk,1
HS2026408,3.0,0.69,1.0,0.78,0.99,1.0,Almost never,21-23 years,Female,300,Nursing,Low income,Always,Yes - more than 20 hours/week,2-3 hours,Less than 4 hours,Moderate risk,2,2,2,4,3,3,2,5,4,4,5,5,2,4,3,3,3,4,4,5,5,2,4,2,5,5,2,4,2,4,3,3,2,5,4,4,4,1,3,4,1,2,Low Risk,0
HS2026184,3.15,0.7,0.67,0.85,0.77,0.96,Almost never,21-23 years,Male,200,Nursing,Low income,Always,No,2-3 hours,More than 8 hours,Low risk,3,2,3,5,5,4,3,3,3,3,4,3,3,3,2,3,3,3,2,2,4,1,3,4,2,4,2,4,3,5,5,4,3,3,3,2,2,5,4,2,2,3,Low Risk,0
HS2026511,3.3,0.69,0.93,0.69,0.88,0.88,Rarely,27-29 years,Female,300,Nursing,High income,Never,No,1-2 hours,6-7 hours,Low risk,2,3,3,1,1,4,4,5,2,4,3,3,3,4,2,4,4,2,3,1,5,3,1,3,5,4,1,1,3,1,1,4,4,5,2,2,2,3,4,3,3,2,Low Risk,0
HS2026119,2.85,0.7,0.7,0.89,0.83,1.0,Rarely,21-23 years,Female,200,Nursing,Middle income,Always,No,1-2 hours,4-5 hours,Moderate risk,4,3,3,1,4,1,2,2,3,2,2,3,1,2,1,3,3,3,5,2,3,1,2,3,3,2,3,4,3,1,4,1,2,2,3,4,1,1,4,4,3,4,Low Risk,0
HS2026099,2.79,0.79,0.98,0.6,0.93,0.78,Rarely,21-23 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,3-4 hours,4-5 hours,Moderate risk,2,3,4,2,2,3,4,2,2,3,4,3,4,1,2,3,3,4,4,4,5,3,3,4,3,5,2,2,4,2,2,3,4,2,2,5,3,4,4,3,4,2,Low Risk,0
HS2026247,1.33,0.6,0.93,0.89,0.89,0.77,Almost never,27-29 years,Male,300,Nursing,Middle income,Always,No,1-2 hours,6-7 hours,Low risk,3,3,3,4,5,5,1,2,4,2,3,3,3,4,2,2,4,4,4,2,3,2,1,1,3,2,4,1,3,4,5,5,1,2,4,2,5,4,1,3,2,3,High Risk,1
HS2026312,2.2,1.0,1.0,0.67,0.89,0.85,Sometimes,21-23 years,Male,300,Nursing,Low income,Always,Yes - fewer than 10 hours/week,Less than 1 hour,More than 8 hours,Low risk,4,2,3,1,1,3,4,5,3,3,2,1,2,5,1,2,1,4,4,1,3,1,3,5,4,2,5,2,3,1,1,3,4,5,3,3,4,3,3,3,2,4,Moderate Risk,1
HS2026250,3.2,0.91,0.79,1.0,0.99,0.6,Rarely,24-26 years,Female,300,Nursing,Upper-middle income,Never,No,2-3 hours,4-5 hours,Moderate risk,4,3,2,3,2,3,2,2,2,3,1,3,1,5,5,2,4,4,3,4,1,3,4,1,3,4,3,3,2,3,2,3,2,2,2,3,3,2,2,3,5,4,Low Risk,0
HS2026559,2.96,0.78,0.89,0.7,0.65,0.69,Rarely,21-23 years,Male,300,Nursing,Middle income,Sometimes (monthly),No,2-3 hours,5-6 hours,Low risk,2,2,4,1,2,3,3,4,5,3,5,4,5,5,3,4,1,2,3,2,3,5,2,1,3,2,3,2,4,1,2,3,3,4,5,3,2,1,4,3,2,2,Low Risk,0
HS2026271,3.16,0.6,0.88,0.69,0.98,0.7,Rarely,30-35 years,Male,300,Nursing,Middle income,Sometimes (monthly),Yes - 10-20 hours/week,1-2 hours,5-6 hours,Moderate risk,2,3,5,2,2,1,2,4,1,3,1,2,1,2,3,2,2,4,3,2,2,4,2,4,2,2,3,3,5,2,2,1,2,4,1,4,5,1,3,2,5,2,Low Risk,0
HS2026137,2.69,0.66,0.8,0.87,0.93,0.76,Sometimes,21-23 years,Male,200,Nursing,Upper-middle income,Rarely (once or twice a semester),Yes - more than 20 hours/week,3-4 hours,4-5 hours,Moderate risk,3,3,3,3,3,2,1,5,2,3,2,3,5,1,2,3,3,5,2,1,3,1,2,1,4,2,5,1,3,3,3,2,1,5,2,3,2,2,3,3,1,3,Low Risk,0
HS2026580,1.44,0.8,0.65,0.8,0.65,1.0,Always,30-35 years,Male,300,ENT,Low income,Sometimes (monthly),No,More than 4 hours,Less than 4 hours,Very low risk,2,2,2,2,2,2,4,2,4,2,5,2,5,2,3,3,2,5,4,4,2,2,4,3,2,5,2,2,2,3,2,3,2,2,2,1,1,2,2,2,2,2,Moderate Risk,1
HS2026107,1.31,0.9,0.45,0.9,0.94,0.84,Almost never,18-20 years,Male,200,Nursing,Low income,Always,No,2-3 hours,6-7 hours,Low risk,2,2,2,2,2,3,1,2,1,1,4,3,1,3,3,2,4,5,3,2,5,2,3,4,1,1,5,3,2,2,2,3,1,2,1,3,5,4,4,3,2,2,High Risk,1
HS2026083,2.52,0.55,0.7,0.9,0.89,0.79,Rarely,21-23 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,More than 4 hours,4-5 hours,Moderate risk,3,5,3,2,5,2,4,3,2,2,4,4,1,4,4,3,3,1,3,5,2,3,3,4,1,5,4,1,3,2,5,2,4,3,2,3,1,4,1,3,5,3,Moderate Risk,1
HS2026135,3.1,0.89,0.8,0.6,0.92,0.95,Almost never,24-26 years,Male,200,Nursing,Low income,Sometimes (monthly),No,3-4 hours,4-5 hours,Moderate risk,2,2,1,4,5,5,1,1,4,3,3,4,4,4,5,3,1,2,2,2,4,2,5,4,3,2,1,2,1,4,5,5,1,1,4,5,3,2,4,1,5,2,Low Risk,0
HS2026585,3.72,0.83,0.83,1.0,0.85,0.89,Always,24-26 years,Female,300,ENT,Upper-middle income,Sometimes (monthly),No,1-2 hours,4-5 hours,Very low risk,2,2,2,2,2,2,2,2,2,2,2,1,2,2,5,4,3,5,5,5,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,High Risk,1
HS2026223,3.74,0.89,1.0,0.9,0.88,0.93,Rarely,27-29 years,Female,300,Nursing,High income,Never,Yes - fewer than 10 hours/week,1-2 hours,6-7 hours,High risk,3,4,4,3,3,1,3,4,1,4,2,3,3,4,3,4,1,4,3,2,3,4,1,2,3,5,4,5,4,3,3,1,3,4,1,4,4,2,2,2,4,3,Low Risk,0
