GPA_S1,Persists when difficult,Takes rest breaks,CA_AVG,Manages time effectively,ATT_RATE,Confident in clinical skills,Anxious about assessments,EXAM_AVG,Reviews notes within 24h,CLIN_AVG,Participates in clubs,Sense of belonging,Confident to complete prog,LAB_AVG,Lecturers approachable,Concentration in self-study,Schedule conflicts,Hopeless/unmotivated,Balanced diet,Sleep difficulty,Adequate advisory support,Sleep_hrs,Programme prepares for career,Considered break,Adequate supervision,Sleep affects concentration,Rotations affect performance,Regular exercise,Uses library regularly,Burnt out,Emotionally supported,Early intervention provided,Participates in class,Self_risk_percep,Understands content pre-exam,ASSIGN_LATE,Financial_diff,Sets academic goals,Self-motivates,Year_study,Completes readings,Concerns taken seriously,Employment_hrs,Programme_ENT,Can improve performance,Seeks help when stuck,Prepared for clinical assess,Study_hrs_day,RISK_BINARY
2.76,1,1,0.79,3,0.91,1,3,1.0,4,0.8,3,4,2,0.8,3,4,2,1,1,1,4,2,3,2,4,2,1,2,4,5,3,4,2,2,3,2,1,4,5,3,2,2,1,0,4,3,2,5,0
2.19,1,5,0.79,3,0.73,4,3,0.8,3,0.88,3,4,5,0.73,2,3,3,3,1,4,1,2,1,3,1,2,3,3,1,2,3,2,2,3,3,2,4,3,2,2,3,3,1,0,3,3,2,2,1
2.92,3,2,0.7,1,0.7,4,5,0.94,5,0.79,3,1,3,0.71,5,3,1,3,2,2,5,2,5,2,3,3,3,4,5,2,2,3,1,2,5,2,3,1,3,2,3,3,2,0,4,3,2,2,1
3.45,3,1,0.7,3,0.7,2,1,0.89,2,0.79,3,5,2,0.76,4,2,4,5,2,3,3,3,3,3,3,2,3,3,3,3,1,3,3,2,2,2,1,4,3,3,4,4,3,0,3,3,4,1,0
3.22,2,4,0.89,3,0.69,4,5,0.88,1,0.79,1,2,2,1.0,4,3,3,5,1,4,2,4,4,4,4,3,4,3,2,5,3,3,1,4,3,3,3,2,1,3,5,5,3,0,2,1,3,2,0
2.5,2,1,0.59,1,1.0,2,4,0.7,4,0.96,3,3,5,0.95,1,2,3,4,2,2,2,4,2,4,3,4,3,3,2,4,1,1,2,3,2,2,3,1,4,3,3,3,1,0,3,3,4,4,1
3.02,1,2,0.96,4,1.0,2,2,0.8,2,0.66,5,4,2,0.9,3,3,1,3,2,1,3,2,4,5,4,1,1,3,3,3,4,3,2,2,4,1,1,5,3,3,5,5,1,0,2,5,1,3,0
2.52,2,3,0.89,3,1.0,2,4,0.78,4,1.0,1,3,2,0.94,5,3,3,1,5,5,3,3,5,2,4,2,4,5,3,5,4,4,3,1,5,1,2,3,4,2,5,5,2,0,3,1,3,5,1
3.0,3,2,0.69,4,1.0,4,3,1.0,2,0.78,2,4,4,0.99,2,2,2,4,5,3,4,1,4,5,5,4,5,2,4,3,5,3,5,3,2,1,5,1,1,3,3,3,4,0,4,2,4,3,0
3.15,4,2,0.7,2,0.96,3,2,0.67,3,0.85,3,4,2,0.77,1,3,3,3,2,3,5,6,3,2,3,3,4,4,5,3,4,4,3,2,2,1,5,5,2,2,5,5,1,0,2,3,3,3,0
3.3,4,1,0.69,3,0.88,4,2,0.93,2,0.69,3,1,2,0.88,3,4,3,2,5,4,1,4,2,1,3,1,3,3,1,4,5,4,5,2,3,2,1,3,3,3,1,1,1,0,2,3,4,2,0
2.85,4,3,0.7,4,1.0,2,1,0.7,4,0.89,3,4,4,0.83,1,2,1,3,3,3,1,2,3,2,3,2,2,3,1,3,3,1,2,3,3,2,5,1,3,2,4,4,1,0,1,3,2,2,0
2.79,4,2,0.79,3,0.78,1,2,0.98,2,0.6,4,2,5,0.93,3,4,4,4,3,3,2,2,2,4,3,3,4,4,2,3,5,3,2,3,3,2,2,4,4,2,2,2,2,0,3,4,3,4,0
1.33,1,4,0.6,3,0.77,4,2,0.93,3,0.89,3,1,2,0.89,2,1,3,4,3,2,4,4,4,2,3,1,3,1,4,4,3,5,2,2,3,1,5,4,2,3,5,5,1,0,5,3,2,2,1
2.2,3,5,1.0,3,0.85,5,1,1.0,4,0.67,3,2,3,0.89,1,4,2,4,4,2,1,6,3,1,1,3,2,5,1,1,3,3,5,2,2,3,5,3,2,3,1,1,2,0,4,3,3,1,1
3.2,2,3,0.91,3,0.6,5,5,0.79,4,1.0,2,3,3,0.99,3,2,1,4,3,2,3,2,2,4,3,4,1,1,3,4,1,3,2,3,3,2,1,2,5,3,2,2,1,0,3,2,3,3,0
2.96,4,3,0.78,3,0.69,5,3,0.89,2,0.7,4,2,3,0.65,5,3,5,2,3,4,1,3,5,2,4,2,5,1,1,1,3,3,4,2,2,2,3,1,2,3,2,2,1,0,2,4,3,3,0
3.16,3,3,0.6,2,0.7,2,3,0.88,2,0.69,5,3,4,0.98,4,2,1,4,2,2,2,3,1,2,2,2,1,4,2,2,2,1,4,3,3,2,3,1,5,3,2,2,3,0,5,5,3,2,0
2.69,3,5,0.66,3,0.76,1,2,0.8,3,0.87,3,1,3,0.93,1,1,5,5,4,3,3,2,2,1,3,2,2,1,3,3,3,2,5,3,3,3,2,2,1,2,3,3,4,0,2,3,3,4,0
1.44,2,2,0.8,2,1.0,2,3,0.65,2,0.8,2,2,1,0.65,2,4,5,5,2,3,3,1,2,4,2,4,5,3,2,2,2,3,2,1,2,4,3,2,2,3,2,2,1,1,1,2,2,5,1
1.31,4,5,0.9,3,0.84,3,3,0.45,2,0.9,2,3,3,0.94,2,1,1,5,1,2,2,4,1,2,3,3,4,4,2,4,5,3,2,2,2,1,5,4,2,2,2,2,1,0,5,2,1,3,1
2.52,1,4,0.55,3,0.79,4,4,0.7,3,0.9,3,1,3,0.89,3,4,1,1,1,3,2,2,2,5,4,3,4,4,2,3,2,2,3,3,5,2,2,4,5,2,5,5,2,0,1,3,2,5,1
3.1,4,1,0.89,1,0.95,4,5,0.8,2,0.6,1,2,5,0.92,2,1,4,2,3,3,4,2,4,2,4,5,3,4,4,1,4,5,1,3,2,1,3,2,5,2,5,5,1,0,3,1,3,4,0
3.72,1,3,0.83,1,0.89,2,5,0.83,2,1.0,3,2,1,0.85,3,2,2,5,3,4,3,2,3,5,1,3,2,3,2,3,3,3,2,1,2,4,3,1,1,3,2,3,1,1,1,2,2,2,1
3.74,2,4,0.89,2,0.93,4,3,1.0,3,0.9,4,5,4,0.88,4,3,3,4,3,4,3,4,1,2,3,1,2,2,3,1,3,1,4,4,4,2,1,2,4,3,3,3,2,0,4,4,4,2,0
2.59,3,4,0.69,1,0.94,3,3,0.7,5,0.68,2,2,5,0.84,1,3,1,2,2,2,3,2,2,3,2,5,3,2,3,5,5,4,3,3,2,2,5,3,3,3,2,2,1,0,5,2,4,2,1
3.31,3,3,0.9,4,0.89,4,2,0.79,3,0.7,3,2,3,0.94,4,2,4,2,3,3,2,3,2,3,4,3,4,1,2,3,4,1,3,3,3,3,1,2,3,2,3,3,3,0,2,3,1,2,0
3.09,3,3,0.78,3,0.9,2,2,1.0,3,0.57,4,1,4,0.82,4,2,2,3,1,1,3,2,3,4,2,2,2,3,3,2,3,4,2,4,2,1,3,3,2,3,2,2,2,0,1,4,5,4,1
1.5,3,2,0.67,2,0.68,2,5,0.63,2,0.68,3,3,2,0.63,3,1,2,3,2,5,3,6,3,5,2,2,2,2,2,4,3,3,1,4,2,3,3,3,1,2,1,3,4,0,3,2,2,2,1
2.77,3,5,0.77,3,0.92,1,1,0.7,4,0.93,1,3,3,0.81,3,1,2,4,2,1,4,6,3,4,5,1,2,1,4,2,1,1,4,4,5,2,2,3,1,2,2,2,1,0,1,1,2,2,1
2.21,4,4,0.89,2,0.69,1,2,0.89,5,0.7,2,2,5,0.94,1,2,5,2,2,2,3,4,5,1,5,5,3,2,3,1,4,1,3,2,1,3,1,2,5,3,5,5,3,0,1,2,4,2,1
3.44,2,2,0.79,2,0.95,4,3,0.89,3,0.84,1,5,4,0.95,1,2,2,1,5,3,4,3,5,3,5,3,2,4,4,3,3,4,2,3,1,1,1,3,5,3,2,2,1,0,3,1,4,3,0
2.56,5,2,0.91,3,0.9,1,2,0.92,3,0.7,2,3,2,0.88,2,2,4,1,5,2,3,2,3,2,1,1,3,4,3,2,3,4,4,1,3,2,2,3,2,3,2,2,3,0,4,2,3,3,1
2.53,2,2,0.8,2,0.9,2,4,0.9,2,0.93,2,2,2,0.6,4,2,3,4,2,4,2,2,2,4,3,2,2,2,3,4,4,2,3,3,2,2,3,2,2,3,3,2,1,0,2,3,3,2,1
2.59,5,1,0.89,1,0.6,3,3,0.88,3,0.89,3,2,2,0.91,5,3,2,3,3,4,3,2,1,1,3,4,2,4,3,3,3,3,1,4,4,2,1,1,4,3,2,2,4,0,2,3,2,3,0
1.93,4,3,1.0,4,0.69,3,1,0.6,3,0.96,3,4,2,0.84,2,4,3,3,2,1,1,2,2,1,5,1,4,4,1,2,3,3,4,3,5,3,1,3,3,3,1,1,2,0,5,3,3,4,1
3.0,3,2,0.93,2,0.9,2,3,0.92,2,0.69,1,3,3,0.91,2,2,2,2,2,2,4,2,5,4,2,4,3,3,4,1,4,3,1,2,4,2,5,2,2,3,5,5,2,0,5,1,5,1,0
2.83,2,2,0.8,1,0.93,2,4,0.8,2,0.89,2,1,1,0.55,2,1,2,4,1,4,1,2,2,4,2,2,1,1,3,4,4,1,3,3,2,2,3,2,1,3,3,2,1,0,1,3,3,2,1
3.88,4,4,1.0,2,0.67,5,2,0.89,1,0.96,2,4,2,0.82,1,2,4,4,3,5,4,4,2,4,1,2,4,3,4,1,3,3,4,3,2,2,2,4,2,3,1,1,2,0,2,2,1,3,0
3.46,2,3,0.69,4,0.8,2,4,0.79,2,0.7,1,3,4,0.6,3,2,2,2,3,4,2,3,3,2,4,4,3,2,2,2,5,2,4,2,2,2,3,2,1,3,4,4,1,0,3,1,4,2,0
3.43,5,5,0.78,2,0.69,3,3,0.7,4,0.83,5,2,5,0.84,3,3,1,2,2,3,4,2,5,3,4,1,1,2,4,3,1,5,4,3,2,2,2,4,3,3,1,1,1,0,3,5,1,2,0
2.63,3,4,1.0,2,0.79,5,3,1.0,3,0.9,2,5,1,0.82,2,2,4,5,3,2,1,3,4,3,2,2,1,3,1,1,2,3,2,4,1,1,5,4,2,3,2,2,2,0,4,2,2,5,1
3.19,1,3,0.66,3,0.85,2,5,0.92,3,0.69,5,2,4,0.86,3,3,4,5,2,4,2,2,4,4,4,1,4,1,2,4,1,4,4,3,3,2,3,3,4,2,3,3,1,0,4,5,4,3,0
2.73,4,2,0.79,3,1.0,5,4,0.78,4,0.69,4,5,3,0.9,3,4,5,5,1,1,3,4,1,5,1,3,5,1,3,2,3,3,3,3,2,3,3,4,2,3,4,4,2,0,5,4,2,2,0
2.62,1,5,0.89,1,0.7,1,1,0.49,1,1.0,1,1,1,0.94,5,2,1,5,3,1,1,4,5,3,1,4,4,3,2,2,4,3,3,2,3,2,2,1,3,2,3,1,2,0,2,2,3,4,1
3.37,1,3,0.7,3,0.91,4,3,0.77,2,0.69,2,2,4,0.88,5,3,3,2,3,3,4,4,2,2,1,2,1,1,4,4,3,1,1,3,3,1,2,5,2,3,4,4,1,0,5,2,4,3,0
3.24,2,2,0.85,2,0.69,2,2,1.0,1,0.92,2,3,4,0.92,3,3,2,5,5,2,3,2,3,3,4,3,4,2,3,1,1,1,2,2,2,2,5,5,5,3,4,4,1,0,4,2,3,4,0
3.27,2,4,0.99,3,0.79,4,3,0.89,5,0.52,2,1,4,0.7,4,1,3,1,2,3,3,3,5,1,3,3,2,3,3,3,1,3,1,3,4,2,2,3,4,3,3,3,2,0,1,2,3,4,0
2.35,1,2,0.9,1,0.7,4,3,0.95,2,0.89,3,1,5,0.91,3,2,4,3,3,5,4,3,5,3,2,2,2,3,4,3,3,1,2,2,4,2,1,4,2,2,4,4,1,0,5,3,2,3,1
2.86,1,2,0.69,1,1.0,2,4,0.78,2,0.88,4,2,1,0.85,2,1,5,4,2,4,4,2,1,5,2,2,4,4,1,2,1,3,2,2,2,2,2,1,1,2,2,4,1,0,1,2,2,2,1
3.0,1,1,1.0,2,0.7,4,2,0.68,2,0.79,4,4,4,0.76,2,3,1,1,5,3,4,3,4,4,5,3,2,2,4,5,4,3,5,2,3,2,3,4,2,3,1,1,2,0,2,4,2,2,0
2.87,4,2,0.67,2,0.96,3,2,0.7,2,0.85,4,3,5,0.64,3,1,3,3,4,3,2,4,3,4,2,4,3,1,2,4,3,4,4,2,2,2,3,3,5,3,2,2,2,0,4,4,2,2,0
3.14,2,5,0.7,1,0.7,3,1,0.66,3,0.79,3,2,4,1.0,5,5,5,2,5,3,4,2,5,4,2,3,1,4,4,3,3,1,5,4,1,2,2,4,4,3,3,3,1,0,2,3,1,2,1
1.76,2,2,0.8,2,0.89,2,4,0.7,2,0.96,2,2,2,0.84,2,2,4,4,2,4,2,2,2,4,2,4,4,2,4,4,2,2,2,3,2,2,3,2,2,2,2,2,1,0,2,2,2,2,1
3.48,1,3,0.95,1,0.9,1,3,0.82,3,0.82,3,3,1,0.87,3,3,4,3,3,3,1,3,1,3,2,2,4,3,5,3,3,2,3,3,3,1,5,1,1,2,4,1,1,0,1,3,2,3,0
3.48,2,2,0.77,2,0.68,4,4,1.0,5,1.0,4,1,1,0.62,1,3,1,3,2,5,2,6,4,5,4,3,5,5,2,3,1,2,1,1,3,3,3,1,2,2,1,1,2,0,4,4,1,4,0
3.06,2,2,0.96,1,0.93,1,1,0.89,5,0.69,4,3,5,0.72,2,3,2,1,5,4,2,4,2,2,4,3,3,3,2,5,3,4,3,3,3,2,1,4,4,3,2,2,2,0,3,4,1,2,0
2.26,2,3,0.82,3,0.88,3,2,0.75,4,0.6,4,2,2,0.93,4,2,2,3,4,3,4,3,2,3,3,2,1,3,2,2,3,4,3,3,3,2,3,3,4,2,3,4,2,0,3,2,3,4,1
2.35,3,1,0.69,4,0.84,4,2,1.0,4,0.7,4,3,4,0.47,2,2,4,4,5,1,3,3,2,5,3,5,2,2,3,3,4,2,2,2,5,2,1,3,4,3,2,2,1,0,3,4,3,4,0
2.22,4,2,0.79,2,1.0,4,3,0.79,2,1.0,3,3,4,0.85,4,2,4,5,2,1,2,2,2,3,1,4,4,3,2,3,5,2,2,4,4,2,2,2,4,3,2,2,1,0,4,3,4,1,1
1.88,1,2,0.89,5,0.69,2,2,0.6,2,0.66,5,2,1,0.97,2,2,2,1,2,2,1,4,3,3,3,3,3,3,1,1,3,4,5,3,4,3,1,2,2,3,2,2,1,0,2,5,5,2,1
3.35,2,5,0.92,3,0.87,1,2,0.69,3,0.69,2,1,2,0.55,1,4,2,1,4,3,2,3,2,1,3,4,3,4,2,5,3,4,2,3,2,1,2,3,2,3,3,3,1,0,1,2,3,3,0
3.24,3,3,0.64,3,1.0,2,2,0.64,2,0.77,3,3,1,0.65,1,3,4,3,3,3,3,3,3,2,3,3,3,5,3,3,1,3,5,3,3,4,3,3,2,3,4,3,1,1,2,4,3,3,1
3.33,5,5,0.63,5,0.7,5,5,0.49,5,0.66,5,5,5,0.64,5,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,4,1,4,2,2,5,5,2,4,5,3,0,5,5,5,2,1
2.87,2,5,0.65,2,1.0,1,2,0.81,2,0.85,1,1,2,0.85,2,3,4,2,5,5,1,5,1,4,4,5,3,5,2,2,2,1,2,1,2,4,4,2,2,3,2,1,1,1,2,5,3,3,1
3.06,1,2,0.79,5,0.78,3,4,0.82,3,0.7,3,3,2,1.0,2,4,1,3,2,5,1,3,5,5,1,3,3,2,1,1,3,4,4,2,4,1,5,3,2,2,4,4,1,0,2,3,3,2,0
1.5,2,1,0.6,1,1.0,4,2,0.7,5,0.89,4,1,2,0.85,2,2,2,4,1,2,1,2,3,4,3,1,1,3,1,3,3,5,4,3,5,3,1,3,3,3,3,3,1,0,2,4,4,2,1
2.98,2,1,0.89,2,1.0,3,2,0.6,2,0.7,3,4,3,0.91,3,2,2,5,2,3,2,2,5,4,3,4,3,2,2,3,3,2,3,2,1,2,5,4,1,3,1,1,1,0,2,3,3,3,0
3.07,2,3,0.7,2,0.79,2,3,0.55,2,0.79,3,3,1,0.97,2,2,2,2,2,3,2,1,3,3,2,2,3,2,2,3,2,2,2,3,2,3,2,2,2,2,2,3,1,0,1,2,2,4,0
3.43,4,2,0.87,2,0.89,1,3,0.66,3,0.99,3,5,4,0.93,5,2,3,2,4,2,5,6,4,4,2,3,3,3,5,3,4,4,1,1,3,2,5,3,5,3,3,3,1,0,3,3,3,3,0
3.11,3,5,0.7,2,0.93,2,2,0.6,2,0.78,4,1,4,0.97,4,5,1,4,4,3,2,2,3,2,2,4,3,2,2,3,1,3,3,2,2,2,5,2,3,3,2,2,1,0,3,4,1,1,0
2.61,2,1,0.9,4,1.0,3,5,0.69,3,1.0,2,5,3,0.92,1,2,4,3,2,4,5,4,3,3,4,4,4,5,5,2,3,2,4,3,2,2,2,2,1,3,5,5,2,0,3,2,4,3,1
2.89,3,1,0.79,4,0.79,2,5,0.91,2,1.0,4,4,2,0.82,3,2,3,1,4,3,2,3,2,5,4,4,3,4,2,2,1,4,3,3,4,3,5,1,1,3,3,3,3,0,2,4,1,2,0
2.46,5,1,0.7,1,0.9,3,1,0.79,2,0.89,1,5,3,0.8,4,3,3,2,2,4,3,4,5,5,2,2,4,2,3,5,5,1,5,3,4,3,3,1,2,3,1,1,1,0,5,1,2,5,0
1.45,5,2,1.0,2,0.9,2,4,0.78,4,0.4,4,3,3,0.78,1,3,5,5,4,4,5,3,5,2,1,3,5,1,5,4,5,4,1,4,2,3,2,2,2,3,2,2,4,0,3,4,3,4,1
3.17,1,2,0.8,2,0.72,4,2,0.78,3,0.89,4,1,1,0.8,3,2,3,1,2,1,3,2,1,1,1,2,2,3,2,2,2,3,3,2,2,1,2,2,2,3,3,3,1,0,2,3,4,3,0
2.69,4,4,0.59,5,1.0,3,4,1.0,2,0.75,4,2,3,0.71,5,4,5,3,2,4,3,2,5,1,2,1,5,2,3,3,1,2,4,4,1,3,5,3,2,3,1,1,3,0,2,4,3,3,1
1.79,2,2,0.8,2,0.89,2,2,1.0,4,0.93,2,2,2,0.96,2,3,4,2,4,2,2,3,2,2,2,2,4,4,2,2,2,2,2,3,2,2,3,2,2,2,2,2,1,0,2,2,2,2,1
3.71,1,2,0.93,3,0.9,4,2,1.0,2,0.79,3,1,2,0.82,3,3,1,3,4,3,2,3,3,3,2,3,4,2,2,3,1,4,4,4,4,2,3,3,2,3,5,5,1,0,4,3,3,4,0
2.91,3,3,0.69,3,1.0,3,4,0.68,4,1.0,3,5,3,0.99,5,3,3,5,4,4,4,2,4,5,4,4,3,4,3,4,3,5,4,2,3,4,2,3,4,3,3,4,1,1,3,4,4,4,1
2.9,3,2,0.92,1,1.0,2,2,0.89,1,0.89,5,5,3,0.77,2,3,3,2,1,2,3,2,3,4,4,5,3,2,3,4,2,3,2,2,4,1,2,2,5,3,1,1,4,0,5,5,3,3,1
1.1,4,5,0.89,3,0.79,5,2,0.9,3,0.87,2,4,3,0.87,2,2,5,4,3,1,3,2,5,3,2,2,2,4,3,1,5,3,3,2,3,2,3,3,2,3,5,5,4,0,4,2,2,2,1
2.28,4,4,0.89,3,0.79,4,3,0.96,4,1.0,2,1,4,0.94,4,4,5,3,2,5,3,4,3,1,4,4,2,3,3,3,3,4,4,4,1,2,2,5,4,3,2,2,1,0,3,2,1,2,1
2.35,2,2,1.0,1,0.96,3,4,0.7,3,0.89,3,1,5,0.81,2,3,5,1,5,1,5,2,3,3,2,2,5,2,5,1,3,3,1,1,3,2,5,5,5,3,3,3,2,0,4,3,2,3,1
2.6,5,5,0.89,4,0.55,5,3,0.7,1,0.78,2,3,3,1.0,3,3,5,2,4,4,2,2,3,2,2,4,2,3,2,4,2,4,3,2,4,3,4,3,2,3,1,1,1,0,1,2,2,5,1
2.68,5,3,0.7,5,1.0,2,2,1.0,3,0.65,3,3,2,0.96,4,3,1,2,3,1,3,4,3,5,4,4,2,2,3,1,3,1,3,2,4,3,5,3,4,3,4,4,1,0,4,3,2,2,1
2.19,5,3,0.87,1,0.79,1,4,0.91,2,0.9,3,3,2,0.95,4,3,2,3,2,3,3,3,5,1,3,3,5,3,3,3,1,1,2,2,1,2,2,3,5,3,2,2,1,0,3,3,3,4,0
2.52,3,2,0.88,4,0.96,4,3,0.72,3,0.69,2,1,3,1.0,1,1,4,3,1,2,3,6,2,3,1,2,2,1,3,2,2,1,3,2,3,2,1,4,3,2,2,2,1,0,3,2,2,2,1
3.02,1,5,1.0,2,0.79,3,3,0.96,4,0.67,1,1,4,0.83,5,2,2,1,1,3,4,2,3,1,2,1,2,1,4,5,1,5,2,2,1,3,1,2,3,3,4,4,2,0,3,1,3,3,1
2.34,1,1,1.0,3,1.0,2,3,0.99,4,0.7,3,4,4,0.66,5,5,2,1,3,2,4,4,3,2,4,2,3,5,4,5,2,5,2,3,5,2,1,4,3,3,4,4,2,0,5,3,4,3,0
2.5,3,1,0.89,3,0.79,4,4,0.79,5,0.66,2,5,3,0.84,1,2,2,1,2,5,4,3,3,4,1,5,4,3,4,1,5,2,1,2,4,1,2,5,2,2,4,4,2,0,2,2,2,2,1
1.87,3,1,0.79,3,1.0,1,2,0.7,2,0.91,4,2,4,0.91,1,3,3,2,1,2,3,1,4,1,2,3,5,2,3,2,3,3,3,3,3,3,3,3,5,3,3,3,1,0,4,4,3,2,0
2.26,3,3,0.67,2,0.87,2,1,0.7,3,0.69,4,2,4,0.82,5,1,3,1,4,5,5,2,3,1,2,3,2,5,5,5,5,4,4,2,4,3,2,4,2,3,3,3,2,0,1,4,4,2,1
2.5,5,3,0.7,3,1.0,4,5,0.7,2,0.89,1,2,3,0.86,4,3,2,5,3,3,2,1,2,4,1,5,3,3,2,1,2,1,3,3,3,3,2,4,5,3,2,2,2,0,5,1,4,2,1
2.43,2,3,0.8,2,0.7,4,4,1.0,3,0.6,1,4,4,1.0,2,1,2,3,2,2,4,3,2,3,5,5,3,3,4,4,3,4,3,1,4,2,2,4,3,3,1,1,1,0,1,1,2,4,1
2.5,3,3,0.7,1,0.92,5,3,0.93,3,1.0,5,3,2,0.89,1,4,4,3,2,2,4,2,4,4,3,4,5,5,4,1,5,3,2,4,2,2,5,1,4,3,2,2,1,0,4,5,5,4,0
1.89,4,3,0.87,4,0.79,1,3,0.6,2,0.91,1,2,5,0.98,3,3,4,5,2,1,3,4,5,2,1,5,3,5,3,3,2,3,2,2,4,3,3,2,2,3,2,2,1,0,2,1,2,5,1
2.57,1,4,0.68,2,0.89,4,4,1.0,4,0.78,2,3,3,0.93,5,3,1,4,4,2,5,2,3,4,5,1,3,3,5,4,4,4,1,2,4,2,1,1,1,3,5,5,3,0,2,2,2,5,1
3.04,1,4,0.7,3,0.78,4,5,0.8,4,0.89,4,3,2,0.8,4,1,5,5,4,2,1,2,4,4,1,1,2,3,1,1,5,4,4,2,4,2,3,3,4,2,2,2,4,0,1,4,5,5,0
3.19,3,5,0.79,1,0.73,4,4,0.69,3,0.69,2,1,5,0.95,4,4,4,3,2,3,2,4,3,5,4,3,4,2,2,2,4,2,4,3,5,2,3,3,3,2,2,2,1,0,5,2,4,2,0
1.57,4,3,0.75,4,0.7,3,4,0.77,2,0.89,2,3,3,0.87,3,3,3,3,4,2,3,2,2,2,3,2,3,3,3,4,2,4,3,2,4,2,1,3,4,3,5,5,1,0,2,2,4,2,1
3.17,2,5,1.0,3,0.68,3,1,1.0,3,0.85,4,2,4,0.7,3,3,1,2,3,2,1,2,2,3,3,1,5,3,1,3,5,3,4,2,3,3,1,3,3,3,4,4,3,0,2,4,4,2,0
3.4,1,4,0.6,4,0.92,4,2,0.8,5,0.9,2,4,2,0.96,1,2,2,1,1,3,3,3,4,2,3,2,5,3,3,2,4,5,1,3,3,2,3,4,1,2,4,4,4,0,4,2,3,2,0
2.27,2,2,0.7,5,0.73,2,2,0.69,4,0.55,5,4,2,0.87,2,3,4,3,2,3,3,3,2,3,1,4,4,4,3,1,4,2,3,2,5,2,1,1,5,3,3,3,1,0,2,5,1,5,0
1.33,1,2,0.8,1,1.0,2,2,0.9,2,0.59,1,2,2,0.82,3,2,3,1,2,1,1,3,3,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,1,0,2,3,2,3,1
2.82,2,2,0.69,1,0.89,2,4,0.89,3,1.0,2,2,2,0.86,3,3,3,1,2,2,3,2,2,2,4,3,1,4,3,4,3,3,3,3,2,3,2,4,2,3,2,2,1,0,2,2,2,2,0
1.98,3,5,0.7,2,1.0,5,3,0.9,2,0.79,4,3,4,0.74,4,4,3,2,2,4,2,4,5,3,3,1,2,1,2,1,3,3,2,2,3,2,1,2,3,3,1,1,1,0,3,4,3,1,0
2.26,2,2,0.57,4,0.69,4,1,0.79,3,1.0,3,2,2,0.71,3,2,2,4,2,2,1,3,4,4,4,3,2,5,1,4,3,3,4,3,1,2,3,3,4,3,2,2,1,0,3,3,3,5,1
3.19,1,5,0.73,3,0.99,3,3,1.0,1,0.96,1,1,3,1.0,5,3,3,2,1,2,3,4,1,3,1,3,4,2,3,4,3,3,1,3,4,2,5,3,1,3,4,4,4,0,1,1,2,4,1
2.33,2,4,0.89,2,0.75,2,3,0.6,4,0.69,1,4,5,0.87,3,4,5,2,2,5,5,6,3,4,4,1,2,3,5,3,5,5,1,4,2,2,1,4,3,3,5,5,1,0,2,1,3,3,1
1.63,3,4,0.89,3,0.84,4,4,0.6,4,0.78,5,5,3,0.66,4,4,4,4,5,4,4,5,4,4,4,5,4,5,4,4,4,5,4,2,4,2,1,3,3,2,4,4,1,0,3,4,4,2,1
2.93,5,2,0.69,1,0.99,3,3,0.79,2,0.59,4,5,4,0.72,2,1,4,3,1,2,2,4,3,1,2,4,1,5,2,1,5,1,5,3,2,2,2,4,2,3,4,4,4,0,4,4,3,2,1
2.54,3,2,0.77,4,1.0,4,2,0.76,3,0.74,2,2,2,0.68,3,2,4,2,3,3,3,4,2,2,3,2,4,4,4,2,1,4,4,3,3,4,2,3,3,3,3,3,1,1,2,4,3,1,1
3.53,2,2,0.82,1,1.0,1,4,0.82,2,0.82,2,3,1,0.91,3,2,5,4,2,4,3,2,1,5,1,5,5,2,1,4,2,4,3,2,3,2,4,2,2,2,3,4,1,0,2,3,2,3,1
2.98,4,2,0.72,2,1.0,4,3,0.9,2,0.79,4,1,4,0.77,2,1,3,1,2,3,2,4,3,3,5,3,2,3,2,2,1,1,2,3,3,1,3,3,4,2,4,4,3,0,5,4,1,3,0
2.89,3,4,0.89,4,0.7,3,2,0.9,3,0.79,5,2,1,0.85,5,2,2,5,3,4,4,2,3,5,1,5,4,4,4,4,3,1,4,4,2,2,1,4,1,3,5,5,1,0,1,5,3,1,1
2.27,3,1,0.73,3,1.0,4,3,0.7,2,0.88,4,3,5,0.78,2,3,3,3,4,2,3,3,4,2,1,3,1,5,3,1,2,1,2,3,2,3,2,2,2,3,2,2,1,0,5,4,3,2,0
3.17,3,2,0.7,2,0.89,4,1,0.57,1,0.7,5,2,3,0.79,2,3,3,2,2,3,2,2,1,3,5,1,3,1,2,4,1,3,4,2,5,2,1,5,4,3,1,1,2,0,1,5,2,4,0
2.3,4,2,0.87,2,0.9,2,4,0.93,3,0.78,5,4,3,0.94,1,2,4,4,2,4,3,3,1,1,5,4,2,4,3,4,2,2,4,2,3,2,3,1,1,2,2,2,1,0,3,5,2,2,1
2.98,5,3,0.79,3,0.69,2,3,0.69,3,0.89,1,3,1,0.91,5,4,1,3,3,3,3,4,3,2,2,1,5,2,3,3,3,2,4,2,4,2,1,1,4,3,2,2,4,0,5,1,2,4,0
1.26,4,3,1.0,3,0.69,2,4,0.6,3,0.89,3,1,2,0.99,5,3,4,1,3,3,2,6,1,3,4,1,2,3,2,4,2,5,3,1,2,2,3,4,4,3,3,3,1,0,1,3,1,3,1
