SID,CGPA_Y1,GPA_S1,CA_AVG,EXAM_AVG,CLIN_AVG,LAB_AVG,ATT_RATE,FAIL_COUNT,WARN_STATUS,ASSIGN_LATE,Age_group,Gender,Year_study,Programme,SES,Financial_diff,Employment_hrs,Study_hrs_day,Sleep_hrs,Self_risk_percep,Reviews notes within 24h,Understands content pre-exam,Seeks help when stuck,Uses library regularly,Completes readings,Takes organised notes,Concentration in self-study,Participates in class,Clinical takes study time,Prepared for clinical assess,Rotations affect performance,Adequate supervision,Schedule conflicts,Confident in clinical skills,Anxious about assessments,Sleep difficulty,Burnt out,Hopeless/unmotivated,Physical health affected,Considered break,Emotionally supported,Lecturers approachable,Sleep affects concentration,Regular exercise,Balanced diet,Health interferes studies,Takes rest breaks,Sense of belonging,Participates in clubs,Adequate advisory support,Concerns taken seriously,Early intervention provided,Peer study groups effective,Knows where to get help,Programme prepares for career,Confident to complete prog,Can improve performance,Sets academic goals,Persists when difficult,Manages time effectively,Self-motivates,Feels prepared,RISK_LABEL
HS2026069,3.03,2.86,0.69,0.78,0.88,0.85,1,1,No,Rarely,21-23 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),No,1-2 hours,4-5 hours,Low risk,2,2,2,1,2,3,1,2,5,2,4,2,5,2,4,4,2,4,3,5,1,2,2,4,2,4,2,2,4,4,4,3,1,1,1,1,1,1,1,1,1,1,Moderate Risk
HS2026070,2.68,2.62,0.89,0.49,1,0.94,0.7,2,No,Rarely,24-26 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,3-4 hours,6-7 hours,Low risk,1,3,2,2,3,4,2,3,5,3,4,1,1,1,1,1,2,5,2,3,4,5,4,3,3,4,5,1,1,1,1,3,3,3,5,1,2,1,1,1,3,3,High Risk
HS2026071,2.5,2.55,0.93,0.67,0.89,1,0.69,0,No,Rarely,30-35 years,Male,200,Nursing,Low income,Sometimes (monthly),Yes - fewer than 10 hours/week,3-4 hours,6-7 hours,High risk,3,4,3,2,2,1,5,4,1,1,2,5,4,3,1,1,2,4,2,1,1,1,1,1,5,4,1,1,1,1,1,1,1,4,4,1,2,3,2,2,3,2,Low Risk
HS2026072,3.03,2.69,0.8,0.5,0.9,0.93,0.7,0,No,Almost never,27-29 years,Male,200,Nursing,Low income,Often (weekly),Yes - fewer than 10 hours/week,Less than 1 hour,6-7 hours,High risk,5,4,2,2,3,1,2,1,3,2,2,4,2,3,3,5,3,4,2,3,1,3,5,2,1,2,3,4,3,2,1,2,1,1,1,1,1,1,2,4,1,1,Low Risk
HS2026073,3.2925,3.19,0.8,0.8,1,0.77,0.69,0,No,Sometimes,27-29 years,Female,200,Nursing,Upper-middle income,Rarely (once or twice a semester),No,1-2 hours,6-7 hours,Very low risk,2,3,3,3,2,1,2,3,2,4,2,4,4,2,2,2,3,4,4,4,2,3,2,3,3,4,2,2,3,4,4,3,2,2,2,1,1,1,2,1,1,2,Low Risk
HS2026074,2.945,2.4,0.89,0.78,1,0.86,0.79,0,No,Sometimes,21-23 years,Female,200,Nursing,Low income,Always,Yes - more than 20 hours/week,2-3 hours,6-7 hours,Low risk,1,1,3,5,3,1,1,4,1,1,1,4,4,3,1,3,3,2,1,2,1,1,5,4,3,5,5,1,1,1,1,1,1,4,1,1,1,1,3,5,5,4,Low Risk
HS2026075,2.695,2.36,0.93,0.35,0.7,0.94,0.69,0,No,Rarely,24-26 years,Female,200,Nursing,Low income,Always,Yes - more than 20 hours/week,1-2 hours,More than 8 hours,Low risk,1,1,3,4,3,5,4,3,4,4,3,2,2,2,4,3,5,1,3,1,1,3,1,1,4,2,5,3,3,3,3,2,2,4,4,1,1,1,3,3,4,5,Low Risk
HS2026076,3.7575,3.81,0.9,0.69,0.69,0.95,0.7,0,No,Rarely,27-29 years,Male,200,Nursing,Low income,Never,No,3-4 hours,6-7 hours,Low risk,1,1,1,1,2,1,3,4,5,5,2,2,2,2,1,1,1,3,3,2,1,1,3,2,2,3,4,2,2,3,3,2,2,3,3,1,1,2,1,1,1,1,Low Risk
HS2026077,2.9425,2.81,0.79,0.7,0.7,0.72,0.7,0,No,Rarely,27-29 years,Female,200,Nursing,Middle income,Sometimes (monthly),No,3-4 hours,More than 8 hours,Moderate risk,2,1,5,1,2,2,3,4,1,2,5,3,3,5,3,3,2,3,3,3,3,4,4,1,1,4,4,3,5,1,2,2,3,4,1,5,3,3,4,5,3,2,Low Risk
HS2026078,2.725,2.19,0.67,0.7,0.69,1,0.9,1,No,Rarely,21-23 years,Male,200,Nursing,Low income,Always,No,3-4 hours,More than 8 hours,Moderate risk,3,3,4,2,4,2,4,4,5,3,2,3,3,4,5,2,1,5,1,1,1,5,3,1,2,3,5,1,4,2,4,2,4,4,5,1,5,3,1,4,2,3,Moderate Risk
HS2026079,3.235,2.98,0.72,0.9,0.79,0.77,1,0,No,Almost never,30-35 years,Male,200,Nursing,Middle income,Sometimes (monthly),Yes - 10-20 hours/week,2-3 hours,6-7 hours,Moderate risk,2,3,4,2,4,1,1,2,3,1,2,5,3,4,3,3,2,1,1,3,1,2,3,3,2,5,2,1,4,2,4,1,1,2,3,4,5,3,4,2,4,2,Low Risk
HS2026080,2.7375,2.14,0.69,1,0.69,0.91,0.99,2,No,Sometimes,27-29 years,Male,200,Nursing,Upper-middle income,Never,No,2-3 hours,5-6 hours,Moderate risk,3,3,5,1,1,3,5,5,1,1,2,2,1,2,4,3,2,1,3,2,1,4,4,1,4,4,5,1,5,1,1,3,5,5,1,1,5,3,1,2,5,3,High Risk
HS2026081,3.0175,2.93,1,0.99,0.7,0.94,0.69,0,No,Sometimes,18-20 years,Female,200,Nursing,Upper-middle income,Never,No,Less than 1 hour,4-5 hours,Moderate risk,3,3,3,4,3,1,5,4,2,1,4,3,1,5,5,2,2,1,4,3,3,3,2,2,2,2,3,4,3,4,3,1,5,4,2,4,1,5,3,5,3,3,Low Risk
HS2026082,2.5375,2.48,0.59,0.45,0.7,0.75,0.6,3,No,Rarely,18-20 years,Male,200,Nursing,Middle income,Rarely (once or twice a semester),No,1-2 hours,6-7 hours,High risk,4,5,5,2,1,2,4,5,2,2,1,1,4,3,1,2,3,3,2,1,5,3,2,1,1,4,2,2,5,2,1,2,4,5,2,4,3,2,1,2,3,4,High Risk
HS2026083,3.1,2.52,0.55,0.7,0.9,0.89,0.79,1,No,Rarely,21-23 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,More than 4 hours,4-5 hours,Moderate risk,3,5,3,2,5,2,4,3,2,2,4,4,1,4,4,3,3,1,3,5,2,3,3,4,1,5,4,1,3,2,5,2,4,3,2,3,1,4,1,3,5,3,Moderate Risk
HS2026084,3.47,3.57,0.96,0.69,1,0.91,0.89,0,No,Rarely,21-23 years,Male,200,Nursing,High income,Never,No,Less than 1 hour,Less than 4 hours,Low risk,1,3,5,2,2,1,5,2,1,2,2,4,2,4,4,2,5,2,3,4,1,2,3,4,1,3,1,3,5,2,2,1,5,2,1,3,2,2,3,4,4,1,Low Risk
HS2026085,3.175,3.19,0.59,0.79,0.7,0.89,0.91,0,No,Rarely,24-26 years,Male,200,Nursing,Low income,Sometimes (monthly),Yes - 10-20 hours/week,2-3 hours,6-7 hours,Moderate risk,4,3,4,2,4,4,1,1,2,3,1,3,2,4,4,2,3,4,3,4,3,3,5,5,4,1,1,2,4,2,4,4,1,1,2,2,5,5,3,3,3,4,Low Risk
HS2026086,2.735,2.43,0.93,0.69,0.77,0.84,0.66,2,No,Almost never,27-29 years,Male,200,Nursing,Middle income,Never,Yes - 10-20 hours/week,More than 4 hours,4-5 hours,Low risk,4,5,2,4,3,3,3,4,3,2,5,3,4,4,4,2,3,3,2,3,1,2,2,2,4,3,2,5,2,4,3,3,3,4,3,3,4,2,2,4,3,4,High Risk
HS2026087,3.62,3.57,0.75,0.7,0.79,0.95,1,0,No,Sometimes,21-23 years,Male,200,Nursing,Middle income,Always,No,1-2 hours,6-7 hours,Very low risk,2,3,3,2,2,5,1,3,2,3,5,3,3,4,3,4,1,4,2,3,1,1,5,2,3,5,4,2,3,2,2,5,1,3,2,3,3,4,1,2,3,2,Low Risk
HS2026088,2.7125,2.26,0.57,0.72,0.69,0.99,0.79,1,No,Sometimes,21-23 years,Male,200,Nursing,Low income,Always,No,1-2 hours,4-5 hours,Low risk,3,1,4,3,2,2,1,2,3,2,4,3,4,2,3,4,3,5,3,1,2,2,1,4,1,2,2,2,4,3,2,2,1,2,3,5,5,3,5,3,5,3,Moderate Risk
HS2026089,1.9425,1.9,0.89,0.96,0.6,0.91,0.7,3,No,Rarely,24-26 years,Female,200,Nursing,Middle income,Never,No,1-2 hours,6-7 hours,Low risk,3,3,2,1,4,5,2,3,2,1,2,1,2,4,3,3,2,3,2,2,5,1,3,2,2,4,1,5,2,1,4,5,2,3,2,1,1,5,4,5,2,3,High Risk
HS2026090,1.94,1.52,1,0.67,0.79,0.78,0.93,3,No,Rarely,24-26 years,Male,200,Nursing,Upper-middle income,Never,Yes - fewer than 10 hours/week,Less than 1 hour,4-5 hours,High risk,2,3,4,1,2,3,5,1,2,2,2,5,4,3,1,5,2,3,4,1,1,5,2,1,1,2,3,1,4,1,2,3,5,1,2,3,1,4,3,5,2,2,High Risk
HS2026091,3.665,3.95,0.89,0.8,0.89,0.96,0.9,0,No,Rarely,21-23 years,Female,200,Nursing,Low income,Sometimes (monthly),No,1-2 hours,5-6 hours,High risk,4,5,3,2,4,1,2,4,1,1,3,3,1,3,3,5,2,2,4,3,4,2,1,4,3,3,5,1,3,2,4,1,2,4,1,5,5,5,5,1,2,4,Low Risk
HS2026092,3.2,3.17,0.89,0.78,0.91,0.86,0.6,0,No,Rarely,30-35 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - 10-20 hours/week,1-2 hours,4-5 hours,Very low risk,1,2,4,4,1,4,3,3,3,2,1,2,5,3,3,3,2,2,3,3,3,4,5,3,4,4,3,5,4,4,1,4,3,3,3,4,3,4,4,4,1,1,Low Risk
HS2026093,2.6375,2.5,0.89,0.79,0.66,0.84,0.79,2,No,Almost never,21-23 years,Female,200,Nursing,Upper-middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,1-2 hours,5-6 hours,Low risk,5,4,2,4,4,2,2,1,3,2,4,1,2,4,4,5,1,1,4,4,5,1,5,3,2,4,1,5,2,4,4,2,2,1,3,3,2,5,3,3,2,5,High Risk
HS2026094,3.1225,3.24,0.7,0.64,1,0.88,0.87,0,No,Sometimes,21-23 years,Female,200,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,More than 8 hours,Low risk,5,5,1,3,5,4,4,1,2,2,3,1,1,2,1,4,3,1,2,4,4,4,3,3,3,3,3,3,1,3,5,4,4,1,2,5,5,5,3,4,2,5,Low Risk
HS2026095,3.66,3.6,0.77,0.65,0.79,0.88,0.78,0,No,Sometimes,24-26 years,Female,200,Nursing,High income,Never,Yes - fewer than 10 hours/week,1-2 hours,More than 8 hours,Low risk,2,3,3,3,2,4,4,4,4,3,5,4,2,2,3,2,1,2,4,1,3,4,3,2,2,3,3,1,3,3,2,4,4,4,4,3,5,5,2,4,3,2,Low Risk
HS2026096,3.1,2.95,0.79,1,0.7,0.94,0.9,0,No,Rarely,30-35 years,Male,200,Nursing,Middle income,Sometimes (monthly),No,2-3 hours,More than 8 hours,Moderate risk,4,2,2,2,3,5,2,1,3,3,1,2,5,1,3,3,1,3,3,2,5,3,2,1,1,2,4,1,2,2,3,5,2,1,3,2,3,3,2,2,1,4,Low Risk
HS2026097,2.185,1.69,0.69,0.99,0.93,0.94,0.9,0,No,Rarely,27-29 years,Male,200,Nursing,High income,Never,No,2-3 hours,6-7 hours,Moderate risk,3,3,3,3,4,2,2,4,2,2,4,4,2,4,3,5,2,3,2,2,4,2,1,2,2,2,3,2,3,3,4,2,2,4,2,1,3,4,4,2,3,3,Moderate Risk
HS2026098,3.1,3.4,0.6,0.8,0.9,0.96,0.92,0,No,Rarely,27-29 years,Female,200,Nursing,Middle income,Sometimes (monthly),Yes - more than 20 hours/week,1-2 hours,5-6 hours,Moderate risk,5,3,2,3,4,5,2,1,4,3,5,3,2,4,2,3,2,1,5,2,4,1,2,3,1,2,4,4,2,3,4,5,2,1,4,2,4,4,1,4,1,5,Low Risk
HS2026099,3.265,2.79,0.79,0.98,0.6,0.93,0.78,0,No,Rarely,21-23 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,3-4 hours,4-5 hours,Moderate risk,2,3,4,2,2,3,4,2,2,3,4,3,4,1,2,3,3,4,4,4,5,3,3,4,3,5,2,2,4,2,2,3,4,2,2,5,3,4,4,3,4,2,Low Risk
HS2026100,3.2725,2.64,0.89,0.99,0.79,0.95,0.7,0,No,Almost never,24-26 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),No,2-3 hours,6-7 hours,Moderate risk,2,2,3,4,4,3,1,1,4,2,1,3,3,2,4,2,3,5,1,3,3,3,2,2,3,3,2,3,3,4,4,3,1,1,4,4,3,3,3,3,5,2,Low Risk
HS2026101,2.435,1.98,0.91,1,0.87,0.76,0.89,2,No,Sometimes,27-29 years,Male,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,2-3 hours,4-5 hours,High risk,4,3,4,5,2,4,2,1,2,2,3,5,1,4,4,3,1,3,3,4,2,2,2,4,2,3,2,1,4,5,2,4,2,1,2,4,4,4,3,2,3,4,High Risk
HS2026102,3.28,2.86,0.66,0.8,0.78,0.99,0.85,0,No,Sometimes,27-29 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,2-3 hours,Less than 4 hours,Moderate risk,3,3,4,2,1,2,3,1,3,2,1,2,4,4,1,2,4,4,3,3,5,3,3,2,2,4,5,3,4,2,1,2,3,1,3,4,4,3,4,2,4,3,Low Risk
HS2026103,3.0225,2.93,1,1,0.99,0.94,0.69,0,No,Rarely,21-23 years,Male,200,Nursing,Low income,Sometimes (monthly),Yes - fewer than 10 hours/week,1-2 hours,6-7 hours,Low risk,2,4,5,2,3,3,3,2,1,1,4,3,4,3,4,1,1,1,2,3,3,2,5,5,2,3,2,1,5,2,3,3,3,2,1,5,5,5,3,1,3,2,Low Risk
HS2026104,2.5425,2.19,0.79,0.8,0.88,0.73,0.73,1,No,Rarely,30-35 years,Male,200,Nursing,Low income,Often (weekly),No,1-2 hours,4-5 hours,Moderate risk,3,3,3,1,3,2,3,2,1,2,3,1,3,4,3,4,2,3,4,3,3,2,2,3,1,4,5,4,3,1,3,2,3,2,1,5,3,3,1,3,2,3,Moderate Risk
HS2026105,2.865,2.57,0.7,1,1,0.88,0.69,1,No,Rarely,27-29 years,Male,200,Nursing,Upper-middle income,Rarely (once or twice a semester),Yes - more than 20 hours/week,2-3 hours,6-7 hours,Low risk,4,3,5,1,2,1,1,3,3,1,4,4,5,2,4,2,2,2,4,3,3,4,1,3,1,2,3,1,5,1,2,1,1,3,3,4,4,2,3,2,5,4,Moderate Risk
HS2026106,2.9425,2.45,0.93,0.99,0.89,0.81,0.68,0,No,Rarely,18-20 years,Female,200,Nursing,Low income,Always,Yes - more than 20 hours/week,2-3 hours,4-5 hours,Very low risk,1,1,1,3,3,4,1,1,4,2,3,3,1,5,5,1,3,2,5,3,3,2,1,2,3,2,2,3,1,3,3,4,1,1,4,5,2,3,4,2,5,1,Low Risk
HS2026107,1.6875,1.31,0.9,0.45,0.9,0.94,0.84,4,No,Almost never,18-20 years,Male,200,Nursing,Low income,Always,No,2-3 hours,6-7 hours,Low risk,2,2,2,2,2,3,1,2,1,1,4,3,1,3,3,2,4,5,3,2,5,2,3,4,1,1,5,3,2,2,2,3,1,2,1,3,5,4,4,3,2,2,High Risk
HS2026108,2.0925,1.12,0.6,0.7,1,0.93,0.78,2,No,Sometimes,21-23 years,Female,200,Nursing,Low income,Never,No,2-3 hours,4-5 hours,Low risk,1,3,5,2,4,2,3,4,4,1,4,2,5,3,2,3,2,3,1,4,4,4,3,3,4,5,3,4,5,2,4,2,3,4,4,4,2,3,3,3,2,1,High Risk
HS2026109,2.9575,3.02,0.79,0.69,1,0.98,0.7,1,No,Sometimes,21-23 years,Male,200,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,5-6 hours,High risk,2,3,3,3,3,2,4,4,3,3,2,3,2,4,4,2,3,1,3,3,1,3,3,2,3,3,2,4,3,3,3,2,4,4,3,2,1,3,3,3,3,2,Moderate Risk
HS2026110,2.55,1.88,0.87,0.79,0.7,0.98,0.9,0,No,Rarely,24-26 years,Male,200,Nursing,Low income,Always,Yes - 10-20 hours/week,Less than 1 hour,4-5 hours,High risk,3,2,4,2,3,3,2,4,3,2,1,2,5,1,3,3,3,5,3,3,4,4,1,3,3,4,2,3,4,2,3,3,2,4,3,3,2,1,1,4,2,3,Low Risk
HS2026111,3.3975,3.35,0.78,0.69,0.69,0.91,1,0,No,Rarely,27-29 years,Male,200,Nursing,Middle income,Sometimes (monthly),No,2-3 hours,5-6 hours,Very low risk,5,4,3,1,2,2,3,3,2,2,2,3,4,5,4,2,2,3,1,1,2,5,1,2,4,3,3,4,3,1,2,2,3,3,2,3,4,3,3,2,5,5,Low Risk
HS2026112,2.8175,2.52,0.99,0.7,0.7,0.78,0.79,4,No,Rarely,21-23 years,Male,200,Nursing,Upper-middle income,Never,No,2-3 hours,More than 8 hours,Low risk,2,3,2,1,4,2,5,2,2,2,2,1,3,5,2,2,5,3,3,4,4,1,3,1,1,5,5,4,2,1,4,2,5,2,2,3,4,1,4,4,2,2,High Risk
HS2026113,2.685,2.52,0.88,0.72,0.69,1,0.96,3,No,Rarely,21-23 years,Male,200,Nursing,Upper-middle income,Never,No,1-2 hours,More than 8 hours,Low risk,3,3,2,3,2,1,1,3,2,2,2,1,4,4,3,2,2,3,1,3,2,1,2,1,1,2,2,1,2,3,2,1,1,3,2,3,3,4,3,4,3,3,High Risk
HS2026114,2.76,2.96,1,0.96,0.79,0.65,0.92,0,No,Almost never,24-26 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,2-3 hours,More than 8 hours,Low risk,3,3,2,3,5,4,5,1,3,3,3,2,4,5,4,4,1,2,4,4,2,3,2,2,5,4,3,2,2,3,5,4,5,1,3,4,5,5,4,3,5,3,Low Risk
HS2026115,2.705,2.75,0.89,0.47,0.69,0.62,1,2,No,Sometimes,24-26 years,Male,200,Nursing,Middle income,Rarely (once or twice a semester),No,1-2 hours,6-7 hours,Moderate risk,5,5,5,2,2,4,5,5,2,1,3,2,1,3,5,4,5,2,5,2,1,3,4,4,3,3,4,5,5,2,2,4,5,5,2,4,5,4,3,3,3,5,High Risk
HS2026116,3.3275,3.31,0.9,0.79,0.7,0.94,0.89,0,No,Sometimes,21-23 years,Female,200,Nursing,High income,Never,Yes - 10-20 hours/week,1-2 hours,5-6 hours,Moderate risk,3,3,3,2,3,1,2,3,2,1,4,4,4,4,2,3,3,2,2,3,4,4,3,1,3,2,3,2,3,2,3,1,2,3,2,3,2,2,3,4,3,3,Low Risk
HS2026117,3.1275,3.19,1,0.69,0.7,1,0.9,0,No,Rarely,30-35 years,Female,200,Nursing,Low income,Sometimes (monthly),Yes - 10-20 hours/week,1-2 hours,4-5 hours,Moderate risk,4,5,3,4,2,4,2,1,4,1,3,4,2,4,3,5,4,1,2,3,4,2,1,5,3,3,3,4,3,4,2,4,2,1,4,1,3,4,4,5,5,4,Low Risk
HS2026118,2.64,2.75,1,0.7,0.89,1,1,4,No,Rarely,21-23 years,Female,200,Nursing,Middle income,Never,No,2-3 hours,6-7 hours,Moderate risk,2,2,2,3,3,2,2,3,5,2,1,2,3,2,1,2,5,3,2,3,2,1,2,1,3,1,3,4,2,3,3,2,2,3,5,1,1,1,2,3,3,2,High Risk
HS2026119,3.025,2.85,0.7,0.7,0.89,0.83,1,0,No,Rarely,21-23 years,Female,200,Nursing,Middle income,Always,No,1-2 hours,4-5 hours,Moderate risk,4,3,3,1,4,1,2,2,3,2,2,3,1,2,1,3,3,3,5,2,3,1,2,3,3,2,3,4,3,1,4,1,2,2,3,4,1,1,4,4,3,4,Low Risk
HS2026120,3.5175,3.5,0.69,0.9,0.89,0.77,0.7,0,No,Rarely,24-26 years,Female,200,Nursing,Low income,Always,No,More than 4 hours,Less than 4 hours,High risk,2,1,3,5,5,4,1,3,1,3,3,4,2,4,1,4,4,3,4,2,3,3,2,3,3,3,1,4,3,5,5,4,1,3,1,3,1,2,3,5,1,2,Low Risk
HS2026121,3.3025,3.35,0.7,1,0.7,0.93,0.69,0,No,Almost never,30-35 years,Male,200,Nursing,Middle income,Never,Yes - fewer than 10 hours/week,2-3 hours,6-7 hours,Moderate risk,1,3,3,3,1,4,3,1,3,2,3,5,2,5,3,5,2,2,4,2,4,1,2,3,3,2,3,4,3,3,1,4,3,1,3,3,3,2,5,2,1,1,Low Risk
HS2026122,3.3425,3.1,0.69,0.68,0.77,1,0.7,0,No,Sometimes,27-29 years,Male,200,Nursing,Upper-middle income,Never,No,1-2 hours,4-5 hours,Low risk,4,4,2,2,1,4,2,3,4,2,3,1,2,3,1,2,1,3,5,3,3,3,2,3,3,2,3,1,2,2,1,4,2,3,4,4,1,4,4,5,1,4,Low Risk
HS2026123,2.9075,2.67,0.79,0.98,0.79,0.91,0.69,0,No,Sometimes,27-29 years,Female,200,Nursing,Low income,Sometimes (monthly),Yes - 10-20 hours/week,More than 4 hours,6-7 hours,Moderate risk,2,1,3,3,2,4,3,4,3,3,2,4,2,4,5,2,2,1,3,3,3,2,4,4,3,5,4,4,3,3,2,4,3,4,3,2,2,2,2,3,4,2,Low Risk
HS2026124,3.1225,3.38,0.69,0.78,0.69,0.78,0.79,0,No,Rarely,21-23 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,Less than 1 hour,4-5 hours,Low risk,2,3,3,1,2,1,2,4,2,3,4,3,3,4,2,1,1,5,2,3,4,2,3,1,3,3,3,1,3,1,2,1,2,4,2,2,1,1,4,2,2,2,Low Risk
HS2026125,2.6075,3,0.7,0.77,0.6,0.86,0.69,3,No,Rarely,24-26 years,Female,200,Nursing,Upper-middle income,Rarely (once or twice a semester),No,Less than 1 hour,6-7 hours,Very low risk,3,3,4,2,3,2,2,4,3,2,4,5,4,3,3,3,2,2,1,3,2,3,3,4,4,3,3,2,4,2,3,2,2,4,3,3,4,1,5,4,1,3,High Risk
HS2026126,2.705,2.92,0.7,0.94,0.79,0.71,0.7,1,No,Rarely,27-29 years,Male,200,Nursing,Middle income,Sometimes (monthly),Yes - fewer than 10 hours/week,1-2 hours,4-5 hours,Low risk,5,5,3,5,3,3,3,1,5,2,3,3,1,4,5,2,2,3,4,2,2,5,3,4,2,3,2,1,3,5,3,3,3,1,5,3,4,1,3,1,3,5,Moderate Risk
HS2026127,2.635,2.35,0.9,0.95,0.89,0.91,0.7,3,No,Rarely,27-29 years,Female,200,Nursing,High income,Never,No,2-3 hours,5-6 hours,Low risk,2,4,3,4,4,1,2,2,5,2,2,2,4,4,3,5,3,3,2,3,3,3,2,3,3,4,2,1,3,4,4,1,2,2,5,5,5,4,1,1,2,2,High Risk
HS2026128,2.65,2.63,1,0.67,0.91,0.99,0.9,0,No,Almost never,21-23 years,Male,200,Nursing,Middle income,Sometimes (monthly),No,3-4 hours,4-5 hours,High risk,4,3,1,5,3,2,4,2,3,2,5,3,3,3,4,3,2,4,4,1,1,5,2,2,3,1,5,2,1,5,3,2,4,2,3,2,2,4,3,2,5,4,Low Risk
HS2026129,3.0625,3.19,0.7,0.76,0.66,0.97,1,0,No,Sometimes,30-35 years,Male,200,Nursing,High income,Never,Yes - more than 20 hours/week,More than 4 hours,5-6 hours,High risk,3,1,2,1,2,1,1,4,1,2,4,1,1,5,5,2,1,1,5,1,4,3,1,4,4,1,1,1,2,1,2,1,1,4,1,5,2,3,5,4,2,3,Low Risk
HS2026130,3.555,3.48,0.77,1,1,0.62,0.68,0,No,Sometimes,27-29 years,Male,200,Nursing,Middle income,Sometimes (monthly),Yes - fewer than 10 hours/week,3-4 hours,More than 8 hours,Very low risk,5,3,4,2,1,2,3,1,4,1,5,4,1,4,4,5,3,3,3,5,1,1,3,5,2,3,2,1,4,2,1,2,3,1,4,1,4,1,2,2,2,5,Low Risk
HS2026131,3.16,3.19,0.79,1,0.79,0.83,0.98,0,No,Rarely,18-20 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),No,3-4 hours,More than 8 hours,Low risk,2,2,3,3,4,4,5,2,2,1,2,4,5,3,3,4,2,2,4,5,5,1,4,4,3,1,3,4,3,3,4,4,5,2,2,3,2,2,4,1,5,2,Low Risk
HS2026132,2.5575,2.48,0.69,0.7,0.7,0.95,0.78,0,No,Rarely,18-20 years,Male,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,More than 4 hours,More than 8 hours,Low risk,3,3,3,1,5,5,2,3,4,2,2,3,4,1,1,5,3,3,2,2,4,3,1,2,4,2,2,3,3,1,5,5,2,3,4,2,1,1,2,3,1,3,Low Risk
HS2026133,3.0875,3.08,0.6,0.69,0.93,1,0.77,0,No,Rarely,21-23 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,2-3 hours,6-7 hours,Low risk,2,2,2,3,2,1,5,4,3,2,2,2,4,2,5,3,2,3,2,3,4,1,5,5,3,3,1,3,2,3,2,1,5,4,3,1,4,3,3,5,1,2,Low Risk
HS2026134,2.665,2.42,0.79,0.8,0.9,0.75,0.94,2,No,Rarely,21-23 years,Male,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,More than 4 hours,5-6 hours,Moderate risk,4,2,1,4,1,4,3,3,3,3,3,5,5,2,2,1,1,3,3,3,1,2,3,4,2,3,2,3,1,4,1,4,3,3,3,5,3,4,4,3,5,4,High Risk
HS2026135,2.8925,3.1,0.89,0.8,0.6,0.92,0.95,0,No,Almost never,24-26 years,Male,200,Nursing,Low income,Sometimes (monthly),No,3-4 hours,4-5 hours,Moderate risk,2,2,1,4,5,5,1,1,4,3,3,4,4,4,5,3,1,2,2,2,4,2,5,4,3,2,1,2,1,4,5,5,1,1,4,5,3,2,4,1,5,2,Low Risk
HS2026136,3.3475,3.35,0.91,0.8,0.79,0.84,0.67,0,No,Sometimes,27-29 years,Male,200,Nursing,Low income,Often (weekly),Yes - more than 20 hours/week,1-2 hours,6-7 hours,Moderate risk,5,4,3,3,4,2,5,5,4,1,3,4,2,3,3,2,2,3,3,2,1,2,3,2,4,2,2,4,3,3,4,2,5,5,4,3,3,3,3,3,3,5,Low Risk
HS2026137,2.97,2.69,0.66,0.8,0.87,0.93,0.76,0,No,Sometimes,21-23 years,Male,200,Nursing,Upper-middle income,Rarely (once or twice a semester),Yes - more than 20 hours/week,3-4 hours,4-5 hours,Moderate risk,3,3,3,3,3,2,1,5,2,3,2,3,5,1,2,3,3,5,2,1,3,1,2,1,4,2,5,1,3,3,3,2,1,5,2,3,2,2,3,3,1,3,Low Risk
HS2026138,3.4575,3.52,1,0.63,0.78,0.9,1,0,No,Rarely,21-23 years,Male,200,Nursing,Low income,Always,No,3-4 hours,Less than 4 hours,Moderate risk,4,2,3,5,3,2,5,3,5,1,3,2,1,3,3,2,5,2,2,1,2,5,1,4,4,2,3,1,3,5,3,2,5,3,5,2,1,1,2,4,1,4,Low Risk
